"action","authority","title","publisher","publishing_line","start_year","record_id"
"ADD AUTHORITY","American Jesus","","Image","Millarworld","","IMA-0023"
"REPAIR SERIES","American Jesus","American Jesus","Image","Millarworld","","SER-01117"
"ADD AUTHORITY","Ant","","Image","Highbrow Entertainment","","IMA-0024"
"ADD SERIES","Ant","Ant","Image","Highbrow Entertainment","","IMS-0020"
"ADD AUTHORITY","ANTARCTICA","","Image","Image Central","","IMA-0025"
"ADD SERIES","ANTARCTICA","ANTARCTICA","Image","Image Central","","IMS-0021"
"ADD AUTHORITY","Antioch","","Image","Image Central","","IMA-0026"
"ADD SERIES","Antioch","Antioch","Image","Image Central","","IMS-0022"
"ADD AUTHORITY","Apes & Babes","","Image","Image Central","","IMA-0027"
"ADD SERIES","Apes & Babes","Apes & Babes","Image","Image Central","","IMS-0023"
"ADD AUTHORITY","Aphrodite IX","","Image","Top Cow Productions","","IMA-0028"
"ADD SERIES","Aphrodite IX","Aphrodite","Image","Top Cow Productions","","IMS-0024"
"ADD AUTHORITY","Aquarius: The Book of Mer","","Image","Image Central","","IMA-0029"
"ADD SERIES","Aquarius: The Book of Mer","Aquarius: The Book of Mer","Image","Image Central","","IMS-0025"
"ADD AUTHORITY","Arcade Kings","","Image","Image Central","","IMA-0030"
"ADD SERIES","Arcade Kings","Arcade Kings","Image","Image Central","","IMS-0026"
"ADD AUTHORITY","Aria: Heavenly Creatures","","Image","Image Central","","IMA-0031"
"ADD SERIES","Aria: Heavenly Creatures","Aria: Heavenly Creatures","Image","Image Central","","IMS-0027"
"ADD AUTHORITY","ARROWSMITH","","Image","Cliffhanger","","IMA-0032"
"ADD SERIES","ARROWSMITH","ARROWSMITH","Image","Cliffhanger","","IMS-0028"
"ADD AUTHORITY","Art Brut","","Image","Image Central","","IMA-0033"
"ADD SERIES","Art Brut","Art Brut","Image","Image Central","","IMS-0029"
"ADD AUTHORITY","Artemis Ix","","Image","Image Central","","IMA-0034"
"ADD SERIES","Artemis Ix","Artemis Ix","Image","Image Central","","IMS-0030"
"ADD AUTHORITY","Artifacts","","Image","Top Cow Productions","","IMA-0035"
"ADD SERIES","Artifacts","Artifacts","Image","Top Cow Productions","","IMS-0031"
"ADD AUTHORITY","Ascender","","Image","Image Central","","IMA-0036"
"ADD SERIES","Ascender","Ascender","Image","Image Central","","IMS-0032"
"ADD AUTHORITY","Assassin Nation","","Image","Skybound","","IMA-0037"
"ADD SERIES","Assassin Nation","Assassin Nation","Image","Skybound","","IMS-0033"
"ADD AUTHORITY","Assorted Crisis Events","","Image","Image Central","","IMA-0038"
"ADD SERIES","Assorted Crisis Events","Assorted Crisis Events","Image","Image Central","","IMS-0034"
"ADD SERIES","Astro City","Astro City","Image","Homage Studios","","IMS-0035"
"ADD AUTHORITY","Atomahawk","","Image","Image Central","","IMA-0039"
"ADD SERIES","Atomahawk","Atomahawk","Image","Image Central","","IMS-0036"
"ADD AUTHORITY","Auntie Agatha's Home For Wayward Rabbits","","Image","Image Central","","IMA-0040"
"ADD SERIES","Auntie Agatha's Home For Wayward Rabbits","Auntie Agatha's Home For Wayward Rabbits","Image","Image Central","","IMS-0037"
"ADD AUTHORITY","Ava's Demon","","Image","Image Central","","IMA-0041"
"ADD SERIES","Ava's Demon","Ava's Demon","Image","Image Central","","IMS-0038"
"ADD SERIES","Criminal","Bad Weekend","Image","Image Central","","IMS-0039"
"ADD AUTHORITY","Barrier","","Image","Image Central","","IMA-0042"
"ADD SERIES","Barrier","Barrier","Image","Image Central","","IMS-0040"
"ADD AUTHORITY","Battle Chasers","","Image","Cliffhanger","","IMA-0043"
"REPAIR SERIES","Battle Chasers","Battle Chasers","Image","Cliffhanger","","SER-01118"
"ADD AUTHORITY","Battle Pope","","Image","Skybound","","IMA-0044"
"REPAIR SERIES","Battle Pope","Battle Pope","Image","Skybound","","SER-01119"
"ADD AUTHORITY","Battlepug","","Image","Image Central","","IMA-0045"
"ADD SERIES","Battlepug","Battlepug","Image","Image Central","","IMS-0041"
"ADD AUTHORITY","Bear Pirate Viking Queen","","Image","Image Central","","IMA-0046"
"ADD SERIES","Bear Pirate Viking Queen","Bear Pirate Viking Queen","Image","Image Central","","IMS-0042"
"ADD AUTHORITY","Bedlam","","Image","Image Central","","IMA-0047"
"ADD SERIES","Bedlam","Bedlam","Image","Image Central","","IMS-0043"
"ADD AUTHORITY","Beowulf","","Image","Image Central","","IMA-0048"
"ADD SERIES","Beowulf","Beowulf","Image","Image Central","","IMS-0044"
"ADD AUTHORITY","Berserker","","Image","Image Central","","IMA-0049"
"ADD SERIES","Berserker","Berserker","Image","Image Central","","IMS-0045"
"ADD AUTHORITY","Beware the Eye of Odin","","Image","Image Central","","IMA-0050"
"ADD SERIES","Beware the Eye of Odin","Beware the Eye of Odin","Image","Image Central","","IMS-0046"
"ADD AUTHORITY","Big Girls","","Image","Image Central","","IMA-0051"
"ADD SERIES","Big Girls","Big Girls","Image","Image Central","","IMS-0047"
"ADD AUTHORITY","Bingo Love","","Image","Image Central","","IMA-0052"
"ADD SERIES","Bingo Love","Bingo Love","Image","Image Central","","IMS-0048"
"REPAIR SERIES","Birthright","Birthright","Image","Skybound","","SER-00101"
"REPAIR SERIES","Bitch Planet","Bitch Planet","Image","Image Central","","SER-00102"
"ADD AUTHORITY","Bitter Root","","Image","Image Central","","IMA-0053"
"REPAIR SERIES","Bitter Root","Bitter Root","Image","Image Central","","SER-01120"
"ADD SERIES","Bitter Root","Bitter Root: The Next Movement","Image","Image Central","","IMS-0049"
"ADD AUTHORITY","Black Cloak","","Image","Image Central","","IMA-0054"
"REPAIR SERIES","Black Cloak","Black Cloak","Image","Image Central","","SER-01121"
"ADD AUTHORITY","Black History In Its Own Words","","Image","Image Central","","IMA-0055"
"ADD SERIES","Black History In Its Own Words","Black History In Its Own Words","Image","Image Central","","IMS-0050"
"ADD AUTHORITY","Black Kiss II","","Image","Image Central","","IMA-0056"
"ADD SERIES","Black Kiss II","Black Kiss II","Image","Image Central","","IMS-0051"
"ADD AUTHORITY","Black Magick","","Image","Image Central","","IMA-0057"
"REPAIR SERIES","Black Magick","Black Magick","Image","Image Central","","SER-01122"
"ADD AUTHORITY","Black Ritual The Book of Nyx","","Image","Image Central","","IMA-0058"
"ADD SERIES","Black Ritual The Book of Nyx","Black Ritual The Book of Nyx","Image","Image Central","","IMS-0052"
"REPAIR SERIES","Black Science","Black Science","Image","Image Central","","SER-00110"
"ADD AUTHORITY","Blackhand & Ironhead","","Image","Image Central","","IMA-0059"
"ADD SERIES","Blackhand & Ironhead","Blackhand & Ironhead","Image","Image Central","","IMS-0053"
"ADD AUTHORITY","Blackhand Comics","","Image","Image Central","","IMA-0060"
"ADD SERIES","Blackhand Comics","Blackhand Comics","Image","Image Central","","IMS-0054"
"ADD AUTHORITY","Bliss","","Image","Image Central","","IMA-0061"
"ADD SERIES","Bliss","Bliss","Image","Image Central","","IMS-0055"
"ADD AUTHORITY","Blood & Thunder","","Image","Image Central","","IMA-0062"
"ADD SERIES","Blood & Thunder","Blood & Thunder","Image","Image Central","","IMS-0056"
"ADD AUTHORITY","Blood Commandment","","Image","Image Central","","IMA-0063"
"ADD SERIES","Blood Commandment","Blood Commandment","Image","Image Central","","IMS-0057"
"ADD AUTHORITY","Blood Squad Seven","","Image","Image Central","","IMA-0064"
"ADD SERIES","Blood Squad Seven","Blood Squad Seven","Image","Image Central","","IMS-0058"
"ADD AUTHORITY","Blood Stain","","Image","Top Cow Productions","","IMA-0065"
"ADD SERIES","Blood Stain","Blood Stain","Image","Top Cow Productions","","IMS-0059"
"ADD AUTHORITY","Blood Stained Teeth","","Image","Image Central","","IMA-0066"
"ADD SERIES","Blood Stained Teeth","Blood Stained Teeth","Image","Image Central","","IMS-0060"
"ADD AUTHORITY","Blood Tree","","Image","Image Central","","IMA-0067"
"ADD SERIES","Blood Tree","Blood Tree","Image","Image Central","","IMS-0061"
"ADD AUTHORITY","Bloodletter","","Image","Image Central","","IMA-0068"
"ADD SERIES","Bloodletter","Bloodletter","Image","Image Central","","IMS-0062"
"ADD AUTHORITY","BLOODRIK","","Image","Image Central","","IMA-0069"
"ADD SERIES","BLOODRIK","BLOODRIK","Image","Image Central","","IMS-0063"
"ADD AUTHORITY","Bloodstrike","","Image","Extreme Studios / Awesome Comics","","IMA-0070"
"ADD SERIES","Bloodstrike","Bloodstrike","Image","Extreme Studios / Awesome Comics","","IMS-0064"
"ADD AUTHORITY","Bloody Mary","","Image","Image Central","","IMA-0071"
"ADD SERIES","Bloody Mary","Bloody Mary","Image","Image Central","","IMS-0065"
"ADD AUTHORITY","Blue In Green","","Image","Image Central","","IMA-0072"
"ADD SERIES","Blue In Green","Blue In Green","Image","Image Central","","IMS-0066"
"ADD AUTHORITY","Body Bags","","Image","Image Central","","IMA-0073"
"ADD SERIES","Body Bags","Body Bags","Image","Image Central","","IMS-0067"
"ADD AUTHORITY","Bolero","","Image","Image Central","","IMA-0074"
"ADD SERIES","Bolero","Bolero","Image","Image Central","","IMS-0068"
"ADD AUTHORITY","Bomb Queen","","Image","Shadowline","","IMA-0075"
"REPAIR SERIES","Bomb Queen","Bomb Queen","Image","Shadowline","","SER-01123"
"ADD AUTHORITY","Bone Orchard","","Image","Image Central","","IMA-0076"
"ADD SERIES","Bone Orchard","Bone Orchard","Image","Image Central","","IMS-0069"
"ADD AUTHORITY","Bonehead","","Image","Top Cow Productions","","IMA-0077"
"ADD SERIES","Bonehead","Bonehead","Image","Top Cow Productions","","IMS-0070"
"ADD AUTHORITY","Brigade","","Image","Extreme Studios / Awesome Comics","","IMA-0078"
"ADD SERIES","Brigade","Brigade","Image","Extreme Studios / Awesome Comics","","IMS-0071"
"ADD AUTHORITY","Brit","","Image","Image Central","","IMA-0079"
"ADD SERIES","Brit","Brit","Image","Image Central","","IMS-0072"
"ADD AUTHORITY","Bubblegum Girl","","Image","Image Central","","IMA-0080"
"ADD SERIES","Bubblegum Girl","Bubblegum Girl","Image","Image Central","","IMS-0073"
"ADD AUTHORITY","Bug Wars","","Image","Image Central","","IMA-0081"
"ADD SERIES","Bug Wars","Bug Wars","Image","Image Central","","IMS-0074"
"ADD AUTHORITY","Bully Wars","","Image","Image Central","","IMA-0082"
"ADD SERIES","Bully Wars","Bully Wars","Image","Image Central","","IMS-0075"
"ADD AUTHORITY","Bushido","","Image","Image Central","","IMA-0083"
"ADD SERIES","Bushido","Bushido","Image","Image Central","","IMS-0076"
"ADD AUTHORITY","Butcher Baker, The Righteous Maker","","Image","Image Central","","IMA-0084"
"ADD SERIES","Butcher Baker, The Righteous Maker","Butcher Baker, The Righteous Maker","Image","Image Central","","IMS-0077"
"ADD AUTHORITY","Buzzkill","","Image","Image Central","","IMA-0085"
"ADD SERIES","Buzzkill","Buzzkill","Image","Image Central","","IMS-0078"
"ADD AUTHORITY","By Chance Or Providence","","Image","Image Central","","IMA-0086"
"ADD SERIES","By Chance Or Providence","By Chance Or Providence","Image","Image Central","","IMS-0079"
"ADD AUTHORITY","C.O.W.L.","","Image","Image Central","","IMA-0087"
"REPAIR SERIES","C.O.W.L.","C.O.W.L.","Image","Image Central","","SER-01124"
"ADD SERIES","C.O.W.L.","C.O.W.L. 1964","Image","Image Central","","IMS-0080"
"REPAIR SERIES","Casanova","Casanova","Image","Image Central","","SER-01125"
"ADD AUTHORITY","Cemetery Beach","","Image","Image Central","","IMA-0088"
"ADD SERIES","Cemetery Beach","Cemetery Beach","Image","Image Central","","IMS-0081"
"ADD AUTHORITY","CHACHU","","Image","Image Central","","IMA-0089"
"ADD SERIES","CHACHU","CHACHU","Image","Image Central","","IMS-0082"
"REPAIR SERIES","Chew","Chew","Image","Image Central","","SER-00160"
"ADD AUTHORITY","Chronicles of Hate","","Image","Image Central","","IMA-0090"
"ADD SERIES","Chronicles of Hate","Chronicles of Hate","Image","Image Central","","IMS-0083"
"ADD AUTHORITY","Chrononauts","","Image","Millarworld","","IMA-0091"
"REPAIR SERIES","Chrononauts","Chrononauts","Image","Millarworld","","SER-01126"
"ADD AUTHORITY","Chu","","Image","Image Central","","IMA-0092"
"REPAIR SERIES","Chu","Chu","Image","Image Central","","SER-01127"
"ADD AUTHORITY","Cla$$war","","Image","Image Central","","IMA-0093"
"ADD SERIES","Cla$$war","Cla$$war","Image","Image Central","","IMS-0084"
"ADD SERIES","The Walking Dead","Clementine","Image","Skybound","","IMS-0085"
"ADD AUTHORITY","Clone","","Image","Skybound","","IMA-0094"
"ADD SERIES","Clone","Clone","Image","Skybound","","IMS-0086"
"ADD AUTHORITY","Coffin Bound","","Image","Image Central","","IMA-0095"
"ADD SERIES","Coffin Bound","Coffin Bound","Image","Image Central","","IMS-0087"
"ADD AUTHORITY","Cold Spots","","Image","Image Central","","IMA-0096"
"ADD SERIES","Cold Spots","Cold Spots","Image","Image Central","","IMS-0088"
"ADD AUTHORITY","Comeback","","Image","Image Central","","IMA-0097"
"ADD SERIES","Comeback","Comeback","Image","Image Central","","IMS-0089"
"REPAIR SERIES","Copperhead","Copperhead","Image","Image Central","","SER-00174"
"ADD AUTHORITY","Copra","","Image","Image Central","","IMA-0098"
"ADD SERIES","Copra","Copra","Image","Image Central","","IMS-0090"
"ADD AUTHORITY","COSMIC DETECTIVE","","Image","Image Central","","IMA-0099"
"ADD SERIES","COSMIC DETECTIVE","COSMIC DETECTIVE","Image","Image Central","","IMS-0091"
"ADD AUTHORITY","Cover Girls","","Image","Image Central","","IMA-0100"
"ADD SERIES","Cover Girls","Cover Girls","Image","Image Central","","IMS-0092"
"ADD AUTHORITY","Cowboy Ninja Viking","","Image","Image Central","","IMA-0101"
"ADD SERIES","Cowboy Ninja Viking","Cowboy Ninja Viking","Image","Image Central","","IMS-0093"
"ADD AUTHORITY","Coyotes","","Image","Image Central","","IMA-0102"
"ADD SERIES","Coyotes","Coyotes","Image","Image Central","","IMS-0094"
"ADD AUTHORITY","Crave","","Image","Image Central","","IMA-0103"
"ADD SERIES","Crave","Crave","Image","Image Central","","IMS-0095"
"ADD AUTHORITY","Crawl Space","","Image","Image Central","","IMA-0104"
"ADD SERIES","Crawl Space","Crawl Space","Image","Image Central","","IMS-0096"
"ADD AUTHORITY","Creepshow","","Image","Skybound","","IMA-0105"
"ADD SERIES","Creepshow","Creepshow","Image","Skybound","","IMS-0097"
"REPAIR SERIES","Criminal","Criminal","Image","Image Central","","SER-00175"
"REPAIR SERIES","Crossover","Crossover","Image","Image Central","","SER-00177"
"ADD AUTHORITY","Crowded","","Image","Image Central","","IMA-0106"
"REPAIR SERIES","Crowded","Crowded","Image","Image Central","","SER-01128"
"ADD AUTHORITY","Crude","","Image","Image Central","","IMA-0107"
"ADD SERIES","Crude","Crude","Image","Image Central","","IMS-0098"
"ADD SERIES","Criminal","Cruel Summer","Image","Image Central","","IMS-0099"
"REPAIR SERIES","Curse Words","Curse Words","Image","Image Central","","SER-00178"
"ADD AUTHORITY","Cutter","","Image","Image Central","","IMA-0108"
"ADD SERIES","Cutter","Cutter","Image","Image Central","","IMS-0100"
"REPAIR SERIES","Cyberforce","Cyberforce","Image","Top Cow Productions","","SER-00179"
"ADD AUTHORITY","D'ORC","","Image","Image Central","","IMA-0109"
"ADD SERIES","D'ORC","D'ORC","Image","Image Central","","IMS-0101"
"ADD AUTHORITY","Dandelion","","Image","Image Central","","IMA-0110"
"ADD SERIES","Dandelion","Dandelion","Image","Image Central","","IMS-0102"
"ADD AUTHORITY","Dante","","Image","Image Central","","IMA-0111"
"ADD SERIES","Dante","Dante","Image","Image Central","","IMS-0103"
"ADD AUTHORITY","Dark Ride","","Image","Skybound","","IMA-0112"
"REPAIR SERIES","Dark Ride","Dark Ride","Image","Skybound","","SER-01129"
"ADD SERIES","The Darkness","Darkness Accursed","Image","Top Cow Productions","","IMS-0104"
"ADD AUTHORITY","Dead Body Road","","Image","Skybound","","IMA-0113"
"ADD SERIES","Dead Body Road","Dead Body Road","Image","Skybound","","IMS-0105"
"ADD AUTHORITY","Dead Eyes","","Image","Image Central","","IMA-0114"
"ADD SERIES","Dead Eyes","Dead Eyes","Image","Image Central","","IMS-0106"
"ADD AUTHORITY","Dead Rabbit","","Image","Image Central","","IMA-0115"
"ADD SERIES","Dead Rabbit","Dead Rabbit","Image","Image Central","","IMS-0107"
"ADD AUTHORITY","Dead Romans","","Image","Image Central","","IMA-0116"
"ADD SERIES","Dead Romans","Dead Romans","Image","Image Central","","IMS-0108"
"ADD AUTHORITY","Deadliest Bouquet","","Image","Image Central","","IMA-0117"
"ADD SERIES","Deadliest Bouquet","Deadliest Bouquet","Image","Image Central","","IMS-0109"
"REPAIR SERIES","Deadly Class","Deadly Class","Image","Image Central","","SER-00195"
"ADD SERIES","Spawn","Deadly Tales Of The Gunslinger Spawn","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0110"
"ADD AUTHORITY","Death Fight Forever","","Image","Image Central","","IMA-0118"
"ADD SERIES","Death Fight Forever","Death Fight Forever","Image","Image Central","","IMS-0111"
"ADD AUTHORITY","Death Or Glory","","Image","Image Central","","IMA-0119"
"ADD SERIES","Death Or Glory","Death Or Glory","Image","Image Central","","IMS-0112"
"ADD AUTHORITY","Death to Pachuco","","Image","Image Central","","IMA-0120"
"ADD SERIES","Death to Pachuco","Death to Pachuco","Image","Image Central","","IMS-0113"
"ADD AUTHORITY","Death Vigil","","Image","Image Central","","IMA-0121"
"ADD SERIES","Death Vigil","Death Vigil","Image","Image Central","","IMS-0114"
"ADD AUTHORITY","Debris","","Image","Image Central","","IMA-0122"
"ADD SERIES","Debris","Debris","Image","Image Central","","IMS-0115"
"ADD AUTHORITY","Decorum","","Image","Image Central","","IMA-0123"
"ADD SERIES","Decorum","Decorum","Image","Image Central","","IMS-0116"
"ADD AUTHORITY","Deep Cuts","","Image","Image Central","","IMA-0124"
"ADD SERIES","Deep Cuts","Deep Cuts","Image","Image Central","","IMS-0117"
"ADD AUTHORITY","Demonic","","Image","Skybound","","IMA-0125"
"ADD SERIES","Demonic","Demonic","Image","Skybound","","IMS-0118"
"REPAIR SERIES","Descender","Descender","Image","Image Central","","SER-00205"
"ADD AUTHORITY","DESTINY GATE","","Image","Image Central","","IMA-0126"
"ADD SERIES","DESTINY GATE","DESTINY GATE","Image","Image Central","","IMS-0119"
"ADD AUTHORITY","Destroy All Monsters","","Image","Image Central","","IMA-0127"
"ADD SERIES","Destroy All Monsters","Destroy All Monsters","Image","Image Central","","IMS-0120"
"REPAIR SERIES","Die","Die","Image","Image Central","","SER-00207"
"ADD AUTHORITY","Die!Die!Die!","","Image","Skybound","","IMA-0128"
"ADD SERIES","Die!Die!Die!","Die!Die!Die!","Image","Skybound","","IMS-0121"
"ADD AUTHORITY","Dissonance","","Image","Image Central","","IMA-0129"
"ADD SERIES","Dissonance","Dissonance","Image","Image Central","","IMS-0122"
"ADD AUTHORITY","Do a Powerbomb","","Image","Image Central","","IMA-0130"
"REPAIR SERIES","Do a Powerbomb","Do a Powerbomb","Image","Image Central","","SER-01130"
"ADD AUTHORITY","Double D","","Image","Image Central","","IMA-0131"
"ADD SERIES","Double D","Double D","Image","Image Central","","IMS-0123"
"ADD AUTHORITY","Dr. Atomic","","Image","Image Central","","IMA-0132"
"ADD SERIES","Dr. Atomic","Dr. Atomic","Image","Image Central","","IMS-0124"
"ADD AUTHORITY","Dracula, Motherf**ker","","Image","Image Central","","IMA-0133"
"ADD SERIES","Dracula, Motherf**ker","Dracula, Motherf**ker","Image","Image Central","","IMS-0125"
"ADD AUTHORITY","Drawing Blood","","Image","Image Central","","IMA-0134"
"ADD SERIES","Drawing Blood","Drawing Blood","Image","Image Central","","IMS-0126"
"ADD AUTHORITY","Dread The Hall H","","Image","Image Central","","IMA-0135"
"ADD SERIES","Dread The Hall H","Dread The Hall H","Image","Image Central","","IMS-0127"
"ADD AUTHORITY","Dream Police","","Image","Image Central","","IMA-0136"
"ADD SERIES","Dream Police","Dream Police","Image","Image Central","","IMS-0128"
"ADD AUTHORITY","Dust to Dust","","Image","Image Central","","IMA-0137"
"ADD SERIES","Dust to Dust","Dust to Dust","Image","Image Central","","IMS-0129"
"ADD AUTHORITY","Dutch","","Image","Image Central","","IMA-0138"
"ADD SERIES","Dutch","Dutch","Image","Image Central","","IMS-0130"
"REPAIR SERIES","East of West","East of West","Image","Image Central","","SER-00239"
"ADD AUTHORITY","Echoes","","Image","Image Central","","IMA-0139"
"ADD SERIES","Echoes","Echoes","Image","Image Central","","IMS-0131"
"ADD AUTHORITY","Echolands","","Image","Image Central","","IMA-0140"
"ADD SERIES","Echolands","Echolands","Image","Image Central","","IMS-0132"
"ADD AUTHORITY","Eclipse","","Image","Top Cow Productions","","IMA-0141"
"ADD SERIES","Eclipse","Eclipse","Image","Top Cow Productions","","IMS-0133"
"ADD AUTHORITY","EDENWOOD","","Image","Image Central","","IMA-0142"
"ADD SERIES","EDENWOOD","EDENWOOD","Image","Image Central","","IMS-0134"
"ADD AUTHORITY","Eight Billion Genies","","Image","Image Central","","IMA-0143"
"REPAIR SERIES","Eight Billion Genies","Eight Billion Genies","Image","Image Central","","SER-01131"
"ADD AUTHORITY","Elsewhere","","Image","Image Central","","IMA-0144"
"ADD SERIES","Elsewhere","Elsewhere","Image","Image Central","","IMS-0135"
"ADD AUTHORITY","Empty Zone","","Image","Image Central","","IMA-0145"
"ADD SERIES","Empty Zone","Empty Zone","Image","Image Central","","IMS-0136"
"ADD AUTHORITY","Energon Universe","","Image","Skybound / Energon Universe","","IMA-0146"
"ADD SERIES","Energon Universe","Energon Universe","Image","Skybound / Energon Universe","","IMS-0137"
"ADD AUTHORITY","Epoch","","Image","Image Central","","IMA-0147"
"ADD SERIES","Epoch","Epoch","Image","Image Central","","IMS-0138"
"ADD AUTHORITY","Errand Boys","","Image","Image Central","","IMA-0148"
"ADD SERIES","Errand Boys","Errand Boys","Image","Image Central","","IMS-0139"
"ADD AUTHORITY","Escape","","Image","Image Central","","IMA-0149"
"ADD SERIES","Escape","Escape","Image","Image Central","","IMS-0140"
"ADD AUTHORITY","Eternal Empire","","Image","Image Central","","IMA-0150"
"ADD SERIES","Eternal Empire","Eternal Empire","Image","Image Central","","IMS-0141"
"ADD AUTHORITY","Everyday Hero Machine Boy","","Image","Skybound","","IMA-0151"
"ADD SERIES","Everyday Hero Machine Boy","Everyday Hero Machine Boy","Image","Skybound","","IMS-0142"
"ADD AUTHORITY","Everything Dead & Dying","","Image","Image Central","","IMA-0152"
"ADD SERIES","Everything Dead & Dying","Everything Dead & Dying","Image","Image Central","","IMS-0143"
"ADD AUTHORITY","Evolution","","Image","Skybound","","IMA-0153"
"ADD SERIES","Evolution","Evolution","Image","Skybound","","IMS-0144"
"ADD AUTHORITY","Excellence","","Image","Skybound","","IMA-0154"
"ADD SERIES","Excellence","Excellence","Image","Skybound","","IMS-0145"
"ADD AUTHORITY","Exquisite Corpses","","Image","Image Central","","IMA-0155"
"ADD SERIES","Exquisite Corpses","Exquisite Corpses","Image","Image Central","","IMS-0146"
"REPAIR SERIES","Extremity","Extremity","Image","Image Central","","SER-00264"
"ADD AUTHORITY","Falling In Love On The Path To Hell","","Image","Image Central","","IMA-0156"
"ADD SERIES","Falling In Love On The Path To Hell","Falling In Love On The Path To Hell","Image","Image Central","","IMS-0147"
"ADD AUTHORITY","Family Tree","","Image","Image Central","","IMA-0157"
"ADD SERIES","Family Tree","Family Tree","Image","Image Central","","IMS-0148"
"ADD AUTHORITY","Farmhand","","Image","Image Central","","IMA-0158"
"REPAIR SERIES","Farmhand","Farmhand","Image","Image Central","","SER-01132"
"ADD AUTHORITY","Faster Than Light","","Image","Image Central","","IMA-0159"
"ADD SERIES","Faster Than Light","Faster Than Light","Image","Image Central","","IMS-0149"
"REPAIR SERIES","Fatale","Fatale","Image","Image Central","","SER-00273"
"REPAIR SERIES","Fear Agent","Fear Agent","Image","Image Central","","SER-01133"
"ADD AUTHORITY","Fell","","Image","Image Central","","IMA-0160"
"ADD SERIES","Fell","Fell","Image","Image Central","","IMS-0150"
"ADD AUTHORITY","Feral","","Image","Image Central","","IMA-0161"
"ADD SERIES","Feral","Feral","Image","Image Central","","IMS-0151"
"ADD AUTHORITY","Final Boss","","Image","Image Central","","IMA-0162"
