"Authority ID","Parent Authority","Series Title","Publishing Era","Publishing Line","Label Marker","Assignment Basis"
"SER-01864","Vertigo / Black Label","Bleeding Hearts","","Vertigo","Vertigo","Exact title audit"
"SER-01706","DC Universe","Blood Syndicate: Season One","Infinite Frontier","Milestone","Milestone","Exact title audit"
"SER-01871","Sandman","Books of Magic","DC Universe","Sandman Universe","Sandman Universe","Exact title audit"
"SER-00794","The Books of Magic","The Books of Magic","","Vertigo","Vertigo","Distinct Vertigo volume"
"SER-01527","DC Universe","Bug! The Adventures of Forager","Rebirth","Young Animal","Young Animal","Exact title audit"
"SER-01661","Catwoman","Catwoman: Lonely City","Infinite Frontier","Black Label","Black Label","Exact title audit"
"SER-01596","DC Universe","Cave Carson Has a Cybernetic Eye","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-01597","DC Universe","Cave Carson Has an Interstellar Eye","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-00372","Impact Comics Imprint (Archie superheroes revival)","The Comet","","Impact","Impact","Parent authority"
"SER-01696","DC Universe","Danger Street","Infinite Frontier","Black Label","Black Label","Exact title audit"
"SER-01619","DC Universe","Daphne Byrne","DC Universe","Hill House Comics","Hill House Comics","Exact title audit"
"SER-01840","DC Universe","DC Horror Presents","DC All In","DC Horror","DC Horror","Exact title audit"
"SER-01841","DC Universe","DC Horror Presents: Creature Commandos","DC All In","DC Horror","DC Horror","Exact title audit"
"SER-00250","Elseworlds / Alternate Universe","DC: The New Frontier","","Elseworlds","Elseworlds","Exact title audit"
"SER-01600","DC Universe","Dial H for Hero","DC Universe","Wonder Comics","Wonder Comics","Exact title audit"
"SER-00214","DMZ","DMZ","","Vertigo","Vertigo","Exact title audit"
"SER-00236","Doom Patrol","Doom Patrol","","Vertigo","Vertigo","Distinct legacy volume"
"SER-00235","Doom Patrol","Doom Patrol","DC Universe","Young Animal","Young Animal","Distinct modern volume"
"SER-01591","Doom Patrol","Doom Patrol: Weight of the Worlds","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-01705","DC Universe","Duo","Infinite Frontier","Milestone","Milestone","Exact title audit"
"SER-01865","Vertigo / Black Label","End of Life","","Vertigo","Vertigo","Exact title audit"
"SER-01598","DC Universe","Eternity Girl","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-01496","DC Universe","Exit Stage Left: The Snagglepuss Chronicles","DC You","Hanna-Barbera Beyond","Hanna-Barbera Beyond","Exact title audit"
"SER-00265","Fables","Fables","","Vertigo","Vertigo","Exact title audit"
"SER-01046","Green Lantern","Far Sector","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-00373","Impact Comics Imprint (Archie superheroes revival)","The Fly","","Impact","Impact","Parent authority"
"SER-01490","DC Universe","Future Quest","DC You","Hanna-Barbera Beyond","Hanna-Barbera Beyond","Exact title audit"
"SER-00297","Gen13","Gen13","","WildStorm","WildStorm","Exact title audit"
"SER-00251","Elseworlds / Alternate Universe","Gotham by Gaslight","","Elseworlds","Elseworlds","Exact title audit"
"SER-01817","Batman","Gotham by Gaslight: The Kryptonian Age","DC All In","Elseworlds","Elseworlds","Exact title audit"
"SER-00335","Hardware","Hardware","","Milestone","Milestone","Publisher metadata"
"SER-01703","DC Universe","Hardware: Season One","Infinite Frontier","Milestone","Milestone","Exact title audit"
"SER-01561","Harley Quinn","Harleen","DC Universe","Black Label","Black Label","Exact title audit"
"SER-00399","John Constantine","Hellblazer","","Vertigo","Vertigo","Exact title audit"
"SER-01588","John Constantine","Hellblazer: Rise and Fall","DC Universe","Black Label","Black Label","Exact title audit"
"SER-01590","Sandman","House of Whispers","DC Universe","Sandman Universe","Sandman Universe","Exact title audit"
"SER-00368","Icon","Icon","","Milestone","Milestone","Publisher metadata"
"SER-00370","Icon and Rocket","Icon and Rocket: Season One","Infinite Frontier","Milestone","Milestone","Exact title audit"
"SER-01707","DC Universe","Icon vs. Hardware","Infinite Frontier","Milestone","Milestone","Exact title audit"
"SER-00816","The Invisibles","The Invisibles","","Vertigo","Vertigo","Exact title audit"
"SER-00374","Impact Comics Imprint (Archie superheroes revival)","The Jaguar","","Impact","Impact","Parent authority"
"SER-00252","Elseworlds / Alternate Universe","JLA: Earth 2","","Elseworlds","Elseworlds","Exact title audit"
"SER-00400","John Constantine","John Constantine, Hellblazer","DC Universe","Sandman Universe","Sandman Universe","Exact title audit"
"SER-01805","DC Universe","John Constantine, Hellblazer: Dead in America","Dawn of DC","Sandman Universe","Sandman Universe","Exact title audit"
"SER-00253","Elseworlds / Alternate Universe","Kingdom Come","","Elseworlds","Elseworlds","Exact title audit"
"SER-00031","America's Best Comics (Alan Moore line)","The League of Extraordinary Gentlemen","","America's Best Comics","America's Best Comics","Exact title audit"
"SER-00449","Lucifer","Lucifer","DC Universe","Sandman Universe","Sandman Universe","Exact title audit"
"SER-01877","Lucifer","Lucifer","","Vertigo","Vertigo","Separate line-specific authority"
"SER-01599","DC Universe","Milk Wars","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-01592","DC Universe","Mother Panic","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-01593","DC Universe","Mother Panic: Gotham A.D.","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-01601","DC Universe","Naomi","DC Universe","Wonder Comics","Wonder Comics","Exact title audit"
"SER-01603","DC Universe","Naomi: Season Two","DC Universe","Wonder Comics","Wonder Comics","Exact title audit"
"SER-00824","The Nice House on the Lake","The Nice House on the Lake","Infinite Frontier","Black Label","Black Label","Exact title audit"
"SER-01750","Peacemaker","Peacemaker Tries Hard!","Dawn of DC","Black Label","Black Label","Exact title audit"
"SER-00563","Planetary","Planetary","","WildStorm","WildStorm","Exact title audit"
"SER-01621","DC Universe","Plunge","DC Universe","Hill House Comics","Hill House Comics","Exact title audit"
"SER-00574","Preacher","Preacher","","Vertigo","Vertigo","Exact title audit"
"SER-00030","America's Best Comics (Alan Moore line)","Promethea","","America's Best Comics","America's Best Comics","Exact title audit"
"SER-01697","DC Universe","Rogues","Infinite Frontier","Black Label","Black Label","Exact title audit"
"SER-00626","Rorschach / Watchmen Legacy","Rorschach","","Black Label","Black Label","Exact title audit"
"SER-00637","Sandman (Wesley Dodds, Golden Age)","Sandman Mystery Theatre","","Vertigo","Vertigo","Exact title audit"
"SER-00635","Sandman","The Sandman","","Vertigo","Vertigo","Distinct Vertigo volume"
"SER-00640","Scalped","Scalped","","Vertigo","Vertigo","Exact title audit"
"SER-01489","DC Universe","Scooby Apocalypse","DC You","Hanna-Barbera Beyond","Hanna-Barbera Beyond","Exact title audit"
"SER-01594","DC Universe","Shade, the Changing Girl","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-00657","Shade, the Changing Man","Shade, the Changing Man","","Vertigo","Vertigo","Exact title audit"
"SER-01595","DC Universe","Shade, the Changing Woman","DC Universe","Young Animal","Young Animal","Exact title audit"
"SER-00375","Impact Comics Imprint (Archie superheroes revival)","The Shield","","Impact","Impact","Parent authority"
"SER-01704","Static","Static: Season One","Infinite Frontier","Milestone","Milestone","Exact title audit"
"SER-00739","Static","Static: Shadows of Dakota","Infinite Frontier","Milestone","Milestone","Exact title audit"
"SER-00492","Midnighter & Apollo","Stormwatch","","WildStorm","WildStorm","Exact title audit"
"SER-00041","Animal Man","Strange Adventures","DC Universe","Black Label","Black Label","Exact title audit"
"SER-00254","Elseworlds / Alternate Universe","Superman: Red Son","","Elseworlds","Elseworlds","Exact title audit"
"SER-00766","Superman Black Label Line","Superman: Red Son","","Elseworlds","Elseworlds","Exact title audit"
"SER-00767","Superman Black Label Line","Superman: Space Age","Infinite Frontier","Black Label","Black Label","Parent authority"
"SER-00771","Sweet Tooth","Sweet Tooth","","Vertigo","Vertigo","Exact title audit"
"SER-01618","DC Universe","The Dollhouse Family","DC Universe","Hill House Comics","Hill House Comics","Exact title audit"
"SER-01072","Vertigo / Black Label","The Dreaming","DC Universe","Sandman Universe","Sandman Universe","Exact title audit"
"SER-01878","Vertigo / Black Label","The Dreaming","","Vertigo","Vertigo","Separate line-specific authority"
"SER-01589","Sandman","The Dreaming: Waking Hours","DC Universe","Sandman Universe","Sandman Universe","Exact title audit"
"SER-01492","DC Universe","The Flintstones","DC You","Hanna-Barbera Beyond","Hanna-Barbera Beyond","Exact title audit"
"SER-01071","Vertigo / Black Label","The Human Target","Infinite Frontier","Black Label","Black Label","Exact title audit"
"SER-01620","DC Universe","The Low, Low Woods","DC Universe","Hill House Comics","Hill House Comics","Exact title audit"
"SER-01070","Vertigo / Black Label","The Nice House by the Sea","Dawn of DC","Vertigo","Vertigo","Exact title audit"
"SER-01585","The Question","The Question: The Deaths of Vic Sage","DC Universe","Black Label","Black Label","Exact title audit"
"SER-01073","Vertigo / Black Label","The Sandman Universe","","Sandman Universe","Sandman Universe","Exact title audit"
"SER-01791","DC Universe","The Sandman Universe: Nightmare Country","Dawn of DC","Sandman Universe","Sandman Universe","Exact title audit"
"SER-01792","DC Universe","The Sandman Universe: Nightmare Country – The Glass House","Dawn of DC","Sandman Universe","Sandman Universe","Exact title audit"
"SER-01532","DC Universe","The Wild Storm","Rebirth","WildStorm","WildStorm","Exact title audit"
"SER-01533","DC Universe","The Wild Storm: Michael Cray","Rebirth","WildStorm","WildStorm","Exact title audit"
"SER-00032","America's Best Comics (Alan Moore line)","Tom Strong","","America's Best Comics","America's Best Comics","Exact title audit"
"SER-00033","America's Best Comics (Alan Moore line)","Tomorrow Stories","","America's Best Comics","America's Best Comics","Exact title audit"
"SER-00034","America's Best Comics (Alan Moore line)","Top 10","","America's Best Comics","America's Best Comics","Exact title audit"
"SER-00886","Transmetropolitan","Transmetropolitan","","Vertigo","Vertigo","Exact title audit"
"SER-01493","DC Universe","Wacky Raceland","DC You","Hanna-Barbera Beyond","Hanna-Barbera Beyond","Exact title audit"
"SER-00961","WetWorks","WetWorks","","WildStorm","WildStorm","Exact title audit"
"SER-00322","Grifter","WildC.A.T.s","","WildStorm","WildStorm","Exact title audit"
"SER-00964","WildC.A.T.s","WildC.A.T.s: Covert Action Teams","","WildStorm","WildStorm","Publisher metadata"
"SER-00975","Wonder Twins","Wonder Twins","DC Universe","Wonder Comics","Wonder Comics","Exact title audit"
"SER-00980","Wonder Woman: Dead Earth","Wonder Woman: Dead Earth","DC Universe","Black Label","Black Label","Exact title audit"
"SER-01004","Xombi","Xombi","","Milestone","Milestone","Publisher metadata"
"SER-01005","Y: The Last Man","Y: The Last Man","","Vertigo","Vertigo","Exact title audit"
"SER-01007","Young Justice","Young Justice","DC Universe","Wonder Comics","Wonder Comics","Exact title audit"
