"action","authority","title","publisher","publishing_line","start_year","end_year"
"AUDIT SERIES","Hellcat","Hellcat","Marvel","","2023","2023"
"AUDIT AUTHORITY","Hood","","Marvel","MAX","",""
"AUDIT SERIES","Hood","The Hood","Marvel","MAX","2002","2002"
"AUDIT SERIES","Hood","Dark Reign: The Hood","Marvel","MAX","2009","2009"
"AUDIT AUTHORITY","Ironheart","","Marvel","","",""
"AUDIT SERIES","Ironheart","Ironheart","Marvel","","2019","2020"
"AUDIT SERIES","Ironheart","Invincible Iron Man","Marvel","","2017","2018"
"AUDIT AUTHORITY","Jack of Hearts","","Marvel","","",""
"AUDIT SERIES","Jack of Hearts","Jack of Hearts","Marvel","","1984","1984"
"AUDIT AUTHORITY","Jeff the Land Shark","","Marvel","","",""
"AUDIT SERIES","Jeff the Land Shark","It's Jeff!","Marvel","","2021","2024"
"AUDIT SERIES","Jeff the Land Shark","Jeff the Land Shark: Superstar","Marvel","","2026","2026"
"AUDIT AUTHORITY","Jessica Jones","","Marvel","","",""
"AUDIT SERIES","Jessica Jones","Alias","Marvel","","2001","2004"
"AUDIT SERIES","Jessica Jones","Jessica Jones","Marvel","","2016","2018"
"AUDIT SERIES","Jessica Jones","Jessica Jones: Blind Spot","Marvel","","2020","2020"
"AUDIT SERIES","Jessica Jones","Jessica Jones: Purple Daughter","Marvel","","2020","2020"
"AUDIT SERIES","Jessica Jones","The Pulse","Marvel","","2004","2006"
"AUDIT AUTHORITY","Ka-Zar","","Marvel","","",""
"AUDIT SERIES","Ka-Zar","Ka-Zar","Marvel","","1970","1971"
"AUDIT SERIES","Ka-Zar","Ka-Zar the Savage","Marvel","","1981","1984"
"AUDIT SERIES","Ka-Zar","Ka-Zar","Marvel","","1997","1998"
"AUDIT SERIES","Ka-Zar","Ka-Zar: Lord of the Savage Land","Marvel","","2021","2022"
"AUDIT AUTHORITY","Machine Man","","Marvel","","",""
"AUDIT SERIES","Machine Man","Machine Man","Marvel","","1978","1981"
"AUDIT SERIES","Machine Man","Machine Man","Marvel","","1984","1985"
"AUDIT SERIES","Machine Man","X-51","Marvel","","1999","2000"
"AUDIT AUTHORITY","Man-Wolf","","Marvel","","",""
"AUDIT SERIES","Man-Wolf","Creatures on the Loose","Marvel","","1974","1975"
"AUDIT SERIES","Man-Wolf","Marvel Premiere","Marvel","","1979","1979"
"AUDIT AUTHORITY","Marvel Boy / Noh-Varr","","Marvel","","",""
"AUDIT SERIES","Marvel Boy / Noh-Varr","Marvel Boy","Marvel","","2000","2001"
"AUDIT AUTHORITY","Meet the Skrulls","","Marvel","","",""
"AUDIT SERIES","Meet the Skrulls","Meet the Skrulls","Marvel","","2019","2019"
"AUDIT AUTHORITY","Misty Knight","","Marvel","","",""
"AUDIT SERIES","Misty Knight","Fearless","Marvel","","2019","2020"
"AUDIT AUTHORITY","Monica Rambeau / Photon","","Marvel","","",""
"AUDIT SERIES","Monica Rambeau / Photon","Monica Rambeau: Photon","Marvel","","2022","2023"
"AUDIT SERIES","Monica Rambeau / Photon","Captain Marvel","Marvel","","1989","1989"
"AUDIT AUTHORITY","Moon Girl and Devil Dinosaur","","Marvel","","",""
"AUDIT SERIES","Moon Girl and Devil Dinosaur","Moon Girl and Devil Dinosaur","Marvel","","2016","2019"
"AUDIT SERIES","Moon Girl and Devil Dinosaur","Moon Girl and Devil Dinosaur","Marvel","","2022","2023"
"AUDIT AUTHORITY","Night Thrasher","","Marvel","","",""
"AUDIT SERIES","Night Thrasher","Night Thrasher","Marvel","","1993","1995"
"AUDIT SERIES","Night Thrasher","Night Thrasher: Four Control","Marvel","","1992","1992"
"AUDIT AUTHORITY","Reptil","","Marvel","","",""
"AUDIT SERIES","Reptil","Reptil","Marvel","","2021","2021"
"AUDIT AUTHORITY","Sleepwalker","","Marvel","","",""
"AUDIT SERIES","Sleepwalker","Sleepwalker","Marvel","","1991","1994"
"AUDIT AUTHORITY","Solo","","Marvel","","",""
"AUDIT SERIES","Solo","Solo","Marvel","","1994","1994"
"AUDIT SERIES","Solo","Solo","Marvel","","2016","2017"
"AUDIT AUTHORITY","Strange Academy","","Marvel","","",""
"AUDIT SERIES","Strange Academy","Strange Academy","Marvel","","2020","2022"
"AUDIT SERIES","Strange Academy","Strange Academy: Finals","Marvel","","2022","2023"
"AUDIT SERIES","Strange Academy","Strange Academy: Amazing Spider-Man","Marvel","","2023","2023"
"AUDIT AUTHORITY","Supreme Power","","Marvel","MAX","",""
"AUDIT SERIES","Supreme Power","Supreme Power","Marvel","MAX","2003","2005"
"AUDIT SERIES","Supreme Power","Supreme Power: Hyperion","Marvel","MAX","2005","2006"
"AUDIT SERIES","Supreme Power","Supreme Power: Nighthawk","Marvel","MAX","2005","2006"
"AUDIT SERIES","Supreme Power","Squadron Supreme","Marvel","MAX","2006","2008"
"AUDIT AUTHORITY","The Twelve","","Marvel","","",""
"AUDIT SERIES","The Twelve","The Twelve","Marvel","","2008","2012"
"AUDIT SERIES","The Twelve","The Twelve: Spearhead","Marvel","","2010","2010"
"AUDIT AUTHORITY","The Union","","Marvel","","",""
"AUDIT SERIES","The Union","The Union","Marvel","","2020","2021"
"AUDIT AUTHORITY","Tigra","","Marvel","","",""
"AUDIT SERIES","Tigra","Marvel Chillers","Marvel","","1975","1976"
"AUDIT SERIES","Tigra","Tigra","Marvel","","2022","2022"
"AUDIT AUTHORITY","White Tiger","","Marvel","","",""
"AUDIT SERIES","White Tiger","White Tiger","Marvel","","2006","2007"
"AUDIT SERIES","White Tiger","Deadly Hands of Kung Fu","Marvel","","1974","1977"
"AUDIT AUTHORITY","Marvel Knights","","Marvel Knights","Marvel Knights","",""
"AUDIT SERIES","Marvel Knights","Marvel Knights","Marvel Knights","Marvel Knights","2000","2001"
"AUDIT SERIES","Marvel Knights","Marvel Knights 20th","Marvel Knights","Marvel Knights","2018","2019"
"AUDIT SERIES","Marvel Knights","Marvel Knights: The World to Come","Marvel Knights","Marvel Knights","2025","2026"
"AUDIT AUTHORITY","District X","","Marvel Knights","Marvel Knights","",""
"AUDIT SERIES","District X","District X","Marvel Knights","Marvel Knights","2004","2006"
"AUDIT AUTHORITY","Madrox","","Marvel Knights","Marvel Knights","",""
"AUDIT SERIES","Madrox","Madrox","Marvel Knights","Marvel Knights","2004","2005"
"AUDIT AUTHORITY","Apache Skies","","Marvel MAX","MAX","",""
"AUDIT SERIES","Apache Skies","Apache Skies","Marvel MAX","MAX","2002","2002"
"AUDIT AUTHORITY","The Eternal","","Marvel MAX","MAX","",""
"AUDIT SERIES","The Eternal","The Eternal","Marvel MAX","MAX","2003","2004"
"AUDIT AUTHORITY","War Is Hell: The First Flight of the Phantom Eagle","","Marvel MAX","MAX","",""
"AUDIT SERIES","War Is Hell: The First Flight of the Phantom Eagle","War Is Hell: The First Flight of the Phantom Eagle","Marvel MAX","MAX","2008","2008"
"AUDIT AUTHORITY","Akira","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Akira","Akira","Epic Comics","Epic Comics","1988","1995"
"AUDIT AUTHORITY","Alien Legion","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Alien Legion","Alien Legion","Epic Comics","Epic Comics","1984","1987"
"AUDIT SERIES","Alien Legion","Alien Legion: A Grey Day to Die","Epic Comics","Epic Comics","1986","1986"
"AUDIT SERIES","Alien Legion","Alien Legion: Tenants of Hell","Epic Comics","Epic Comics","1991","1992"
"AUDIT AUTHORITY","The Bozz Chronicles","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","The Bozz Chronicles","The Bozz Chronicles","Epic Comics","Epic Comics","1985","1986"
"AUDIT AUTHORITY","Coyote","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Coyote","Coyote","Epic Comics","Epic Comics","1983","1986"
"AUDIT AUTHORITY","Dreadstar","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Dreadstar","Dreadstar","Epic Comics","Epic Comics","1982","1986"
"AUDIT SERIES","Dreadstar","The Price","Epic Comics","Epic Comics","1981","1981"
"AUDIT AUTHORITY","Groo the Wanderer","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Groo the Wanderer","Groo the Wanderer","Epic Comics","Epic Comics","1985","1995"
"AUDIT AUTHORITY","Marshal Law","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Marshal Law","Marshal Law","Epic Comics","Epic Comics","1987","1989"
"AUDIT SERIES","Marshal Law","Marshal Law: Takes Manhattan","Epic Comics","Epic Comics","1989","1989"
"AUDIT AUTHORITY","Moonshadow","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Moonshadow","Moonshadow","Epic Comics","Epic Comics","1985","1987"
"AUDIT AUTHORITY","The One","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","The One","The One","Epic Comics","Epic Comics","1985","1986"
"AUDIT AUTHORITY","Six from Sirius","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Six from Sirius","Six from Sirius","Epic Comics","Epic Comics","1984","1984"
"AUDIT SERIES","Six from Sirius","Six from Sirius II","Epic Comics","Epic Comics","1985","1985"
"AUDIT AUTHORITY","Sisterhood of Steel","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Sisterhood of Steel","Sisterhood of Steel","Epic Comics","Epic Comics","1984","1986"
"AUDIT AUTHORITY","St. George","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","St. George","St. George","Epic Comics","Epic Comics","1988","1989"
"AUDIT AUTHORITY","Starstruck","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Starstruck","Starstruck","Epic Comics","Epic Comics","1985","1986"
"AUDIT AUTHORITY","Stray Toasters","","Epic Comics","Epic Comics","",""
"AUDIT SERIES","Stray Toasters","Stray Toasters","Epic Comics","Epic Comics","1988","1989"
"AUDIT AUTHORITY","Brilliant","","Icon","Icon Comics","",""
"AUDIT SERIES","Brilliant","Brilliant","Icon","Icon Comics","2011","2014"
"AUDIT AUTHORITY","Casanova","","Icon","Icon Comics","",""
"AUDIT SERIES","Casanova","Casanova","Icon","Icon Comics","2011","2012"
"AUDIT SERIES","Casanova","Casanova: Avaritia","Icon","Icon Comics","2011","2012"
"AUDIT AUTHORITY","Criminal","","Icon","Icon Comics","",""
"AUDIT SERIES","Criminal","Criminal","Icon","Icon Comics","2006","2008"
"AUDIT SERIES","Criminal","Criminal: The Sinners","Icon","Icon Comics","2009","2010"
"AUDIT SERIES","Criminal","Criminal: Last of the Innocent","Icon","Icon Comics","2011","2011"
"AUDIT AUTHORITY","Empress","","Icon","Icon Comics","",""
"AUDIT SERIES","Empress","Empress","Icon","Icon Comics","2016","2016"
"AUDIT AUTHORITY","Incognito","","Icon","Icon Comics","",""
"AUDIT SERIES","Incognito","Incognito","Icon","Icon Comics","2008","2009"
"AUDIT SERIES","Incognito","Incognito: Bad Influences","Icon","Icon Comics","2010","2011"
"AUDIT AUTHORITY","Kabuki","","Icon","Icon Comics","",""
"AUDIT SERIES","Kabuki","Kabuki","Icon","Icon Comics","2004","2008"
"AUDIT AUTHORITY","Kick-Ass","","Icon","Icon Comics","",""
"AUDIT SERIES","Kick-Ass","Kick-Ass","Icon","Icon Comics","2008","2010"
"AUDIT SERIES","Kick-Ass","Kick-Ass 2","Icon","Icon Comics","2010","2012"
"AUDIT SERIES","Kick-Ass","Kick-Ass 3","Icon","Icon Comics","2013","2014"
"AUDIT SERIES","Kick-Ass","Hit-Girl","Icon","Icon Comics","2012","2013"
"AUDIT AUTHORITY","Nemesis","","Icon","Icon Comics","",""
"AUDIT SERIES","Nemesis","Nemesis","Icon","Icon Comics","2010","2011"
"AUDIT AUTHORITY","Powers","","Icon","Icon Comics","",""
"AUDIT SERIES","Powers","Powers","Icon","Icon Comics","2004","2008"
"AUDIT SERIES","Powers","Powers: Bureau","Icon","Icon Comics","2012","2014"
"AUDIT AUTHORITY","Scarlet","","Icon","Icon Comics","",""
"AUDIT SERIES","Scarlet","Scarlet","Icon","Icon Comics","2010","2016"
"AUDIT AUTHORITY","The Secret Service / Kingsman","","Icon","Icon Comics","",""
"AUDIT SERIES","The Secret Service / Kingsman","The Secret Service","Icon","Icon Comics","2012","2013"
"AUDIT AUTHORITY","Superior","","Icon","Icon Comics","",""
"AUDIT SERIES","Superior","Superior","Icon","Icon Comics","2010","2012"
"AUDIT AUTHORITY","Takio","","Icon","Icon Comics","",""
"AUDIT SERIES","Takio","Takio","Icon","Icon Comics","2011","2012"
"AUDIT AUTHORITY","The United States of Murder Inc.","","Icon","Icon Comics","",""
"AUDIT SERIES","The United States of Murder Inc.","The United States of Murder Inc.","Icon","Icon Comics","2014","2015"
"AUDIT AUTHORITY","D.P.7","","Marvel","New Universe","",""
"AUDIT SERIES","D.P.7","D.P.7","Marvel","New Universe","1986","1989"
"AUDIT AUTHORITY","Justice (New Universe)","","Marvel","New Universe","",""
"AUDIT SERIES","Justice (New Universe)","Justice","Marvel","New Universe","1986","1989"
"AUDIT AUTHORITY","Kickers, Inc.","","Marvel","New Universe","",""
"AUDIT SERIES","Kickers, Inc.","Kickers, Inc.","Marvel","New Universe","1986","1987"
"AUDIT AUTHORITY","Mark Hazzard: Merc","","Marvel","New Universe","",""
"AUDIT SERIES","Mark Hazzard: Merc","Mark Hazzard: Merc","Marvel","New Universe","1986","1988"
"AUDIT SERIES","Mark Hazzard: Merc","Merc","Marvel","New Universe","1988","1988"
"AUDIT AUTHORITY","Nightmask","","Marvel","New Universe","",""
"AUDIT SERIES","Nightmask","Nightmask","Marvel","New Universe","1986","1987"
"AUDIT AUTHORITY","Psi-Force","","Marvel","New Universe","",""
"AUDIT SERIES","Psi-Force","Psi-Force","Marvel","New Universe","1986","1989"
"AUDIT AUTHORITY","Spitfire and the Troubleshooters","","Marvel","New Universe","",""
"AUDIT SERIES","Spitfire and the Troubleshooters","Spitfire and the Troubleshooters","Marvel","New Universe","1986","1987"
"AUDIT SERIES","Spitfire and the Troubleshooters","Codename: Spitfire","Marvel","New Universe","1987","1988"
"AUDIT AUTHORITY","Star Brand","","Marvel","New Universe","",""
"AUDIT SERIES","Star Brand","Star Brand","Marvel","New Universe","1986","1989"
"AUDIT SERIES","Star Brand","The Star Brand","Marvel","New Universe","2006","2007"
"AUDIT AUTHORITY","The Pitt","","Marvel","New Universe","",""
"AUDIT SERIES","The Pitt","The Pitt","Marvel","New Universe","1987","1987"
"AUDIT AUTHORITY","The Draft","","Marvel","New Universe","",""
"AUDIT SERIES","The Draft","The Draft","Marvel","New Universe","1988","1988"
"AUDIT AUTHORITY","The War (New Universe)","","Marvel","New Universe","",""
"AUDIT SERIES","The War (New Universe)","The War","Marvel","New Universe","1989","1989"
"AUDIT AUTHORITY","newuniversal","","Marvel","New Universe","",""
"AUDIT SERIES","newuniversal","newuniversal","Marvel","New Universe","2007","2008"
"AUDIT SERIES","newuniversal","newuniversal: shockfront","Marvel","New Universe","2008","2009"
"AUDIT AUTHORITY","2099","","Marvel","2099","",""
"AUDIT SERIES","2099","2099 Alpha","Marvel","2099","2019","2019"
"AUDIT SERIES","2099","2099 Omega","Marvel","2099","2019","2019"
"AUDIT SERIES","2099","2099 A.D. Apocalypse","Marvel","2099","1995","1995"
"AUDIT SERIES","2099","2099 A.D. Genesis","Marvel","2099","1996","1996"
"AUDIT SERIES","2099","2099 Unlimited","Marvel","2099","1993","1996"
"AUDIT SERIES","2099","2099: Manifest Destiny","Marvel","2099","1998","1998"
"AUDIT SERIES","2099","2099: World of Tomorrow","Marvel","2099","1996","1997"
"AUDIT AUTHORITY","Ravage 2099","","Marvel","2099","",""
"AUDIT SERIES","Ravage 2099","Ravage 2099","Marvel","2099","1992","1995"
"AUDIT AUTHORITY","X-Nation 2099","","Marvel","2099","",""
"AUDIT SERIES","X-Nation 2099","X-Nation 2099","Marvel","2099","1996","1996"
"AUDIT AUTHORITY","Fall of the Hammer","","Marvel","2099","",""
"AUDIT SERIES","Fall of the Hammer","2099: Fall of the Hammer","Marvel","2099","1994","1994"
"AUDIT AUTHORITY","Timestorm 2009–2099","","Marvel","2099","",""
"AUDIT SERIES","Timestorm 2009–2099","Timestorm 2009–2099","Marvel","2099","2009","2009"
"AUDIT AUTHORITY","Cataclysm (Ultimate Marvel)","","Marvel","Ultimate Marvel","",""
"AUDIT SERIES","Cataclysm (Ultimate Marvel)","Cataclysm: The Ultimates' Last Stand","Marvel","Ultimate Marvel","2013","2014"
"AUDIT SERIES","Cataclysm (Ultimate Marvel)","Cataclysm: Ultimate Comics Spider-Man","Marvel","Ultimate Marvel","2013","2014"
"AUDIT SERIES","Cataclysm (Ultimate Marvel)","Cataclysm: Ultimate X-Men","Marvel","Ultimate Marvel","2013","2014"
"AUDIT AUTHORITY","Ultimate End","","Marvel","Ultimate Marvel","",""
"AUDIT SERIES","Ultimate End","Ultimate End","Marvel","Ultimate Marvel","2015","2015"
"AUDIT AUTHORITY","Ultimate Origins","","Marvel","Ultimate Marvel","",""
"AUDIT SERIES","Ultimate Origins","Ultimate Origins","Marvel","Ultimate Marvel","2008","2008"
"AUDIT AUTHORITY","Ultimate Power","","Marvel","Ultimate Marvel","",""
"AUDIT SERIES","Ultimate Power","Ultimate Power","Marvel","Ultimate Marvel","2006","2008"
"AUDIT AUTHORITY","Ultimate Six","","Marvel","Ultimate Marvel","",""
"AUDIT SERIES","Ultimate Six","Ultimate Six","Marvel","Ultimate Marvel","2003","2004"
"AUDIT AUTHORITY","Ultimate Marvel Team-Up","","Marvel","Ultimate Marvel","",""
"AUDIT SERIES","Ultimate Marvel Team-Up","Ultimate Marvel Team-Up","Marvel","Ultimate Marvel","2001","2002"
"AUDIT AUTHORITY","Ultimatum","","Marvel","Ultimate Marvel","",""
"AUDIT SERIES","Ultimatum","Ultimatum","Marvel","Ultimate Marvel","2009","2009"
"AUDIT SERIES","Ultimatum","Ultimatum: Spider-Man Requiem","Marvel","Ultimate Marvel","2009","2009"
"AUDIT SERIES","Ultimatum","Ultimatum: X-Men Requiem","Marvel","Ultimate Marvel","2009","2009"
"AUDIT AUTHORITY","Ultimate Endgame","","Marvel","Ultimate Universe","",""
"AUDIT SERIES","Ultimate Endgame","Ultimate Endgame","Marvel","Ultimate Universe","2025","2026"
"AUDIT AUTHORITY","Ultimate Invasion","","Marvel","Ultimate Universe","",""
"AUDIT SERIES","Ultimate Invasion","Ultimate Invasion","Marvel","Ultimate Universe","2023","2023"
"AUDIT AUTHORITY","Ultimate Wolverine","","Marvel","Ultimate Universe","",""
"AUDIT SERIES","Ultimate Wolverine","Ultimate Wolverine","Marvel","Ultimate Universe","2025","2026"
"AUDIT AUTHORITY","Ultimate Spider-Man: Incursion","","Marvel","Ultimate Universe","",""
"AUDIT SERIES","Ultimate Spider-Man: Incursion","Ultimate Spider-Man: Incursion","Marvel","Ultimate Universe","2025","2025"
"AUDIT AUTHORITY","Prime (Ultraverse)","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Prime (Ultraverse)","Prime","Malibu Comics","Ultraverse","1993","1996"
"AUDIT SERIES","Prime (Ultraverse)","Prime: Gross and Disgusting","Malibu Comics","Ultraverse","1995","1995"
"AUDIT AUTHORITY","Hardcase","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Hardcase","Hardcase","Malibu Comics","Ultraverse","1993","1995"
"AUDIT AUTHORITY","The Strangers (Ultraverse)","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","The Strangers (Ultraverse)","The Strangers","Malibu Comics","Ultraverse","1993","1995"
"AUDIT AUTHORITY","Mantra","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Mantra","Mantra","Malibu Comics","Ultraverse","1993","1995"
"AUDIT AUTHORITY","Night Man","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Night Man","Night Man","Malibu Comics","Ultraverse","1993","1995"
"AUDIT SERIES","Night Man","Night Man / Gambit","Malibu Comics","Ultraverse","1996","1996"
"AUDIT AUTHORITY","Ultraforce","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Ultraforce","Ultraforce","Malibu Comics","Ultraverse","1994","1996"
"AUDIT SERIES","Ultraforce","Avengers / Ultraforce","Malibu Comics","Ultraverse","1995","1995"
"AUDIT AUTHORITY","Rune","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Rune","Rune","Malibu Comics","Ultraverse","1994","1995"
"AUDIT SERIES","Rune","Rune / Silver Surfer","Malibu Comics","Ultraverse","1995","1995"
"AUDIT SERIES","Rune","Rune vs. Venom","Malibu Comics","Ultraverse","1995","1995"
"AUDIT AUTHORITY","Prototype","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Prototype","Prototype","Malibu Comics","Ultraverse","1993","1995"
"AUDIT AUTHORITY","Firearm","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Firearm","Firearm","Malibu Comics","Ultraverse","1993","1995"
"AUDIT AUTHORITY","Sludge","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Sludge","Sludge","Malibu Comics","Ultraverse","1993","1994"
"AUDIT AUTHORITY","Freex","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Freex","Freex","Malibu Comics","Ultraverse","1993","1995"
"AUDIT AUTHORITY","Solitaire (Ultraverse)","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Solitaire (Ultraverse)","Solitaire","Malibu Comics","Ultraverse","1993","1994"
"AUDIT AUTHORITY","The Solution","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","The Solution","The Solution","Malibu Comics","Ultraverse","1993","1995"
"AUDIT AUTHORITY","Lord Pumpkin","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Lord Pumpkin","Lord Pumpkin","Malibu Comics","Ultraverse","1994","1995"
"AUDIT AUTHORITY","Ultraverse Events","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Ultraverse Events","Break-Thru","Malibu Comics","Ultraverse","1993","1994"
"AUDIT SERIES","Ultraverse Events","Godwheel","Malibu Comics","Ultraverse","1995","1995"
"AUDIT SERIES","Ultraverse Events","Black September","Malibu Comics","Ultraverse","1995","1995"
"AUDIT SERIES","Ultraverse Events","Phoenix Resurrection","Malibu Comics","Ultraverse","1995","1996"
"AUDIT AUTHORITY","Exiles (Ultraverse)","","Malibu Comics","Ultraverse","",""
"AUDIT SERIES","Exiles (Ultraverse)","Exiles","Malibu Comics","Ultraverse","1993","1993"
"AUDIT AUTHORITY","Sigil","","CrossGen","CrossGen","",""
"AUDIT SERIES","Sigil","Sigil","CrossGen","CrossGen","2000","2003"
"AUDIT AUTHORITY","Mystic (CrossGen)","","CrossGen","CrossGen","",""
"AUDIT SERIES","Mystic (CrossGen)","Mystic","CrossGen","CrossGen","2000","2003"
"AUDIT AUTHORITY","Scion","","CrossGen","CrossGen","",""
"AUDIT SERIES","Scion","Scion","CrossGen","CrossGen","2000","2004"
"AUDIT AUTHORITY","Meridian","","CrossGen","CrossGen","",""
"AUDIT SERIES","Meridian","Meridian","CrossGen","CrossGen","2000","2004"
"AUDIT AUTHORITY","Sojourn","","CrossGen","CrossGen","",""
"AUDIT SERIES","Sojourn","Sojourn","CrossGen","CrossGen","2001","2004"
"AUDIT AUTHORITY","The First","","CrossGen","CrossGen","",""
"AUDIT SERIES","The First","The First","CrossGen","CrossGen","2000","2003"
"AUDIT AUTHORITY","Ruse","","CrossGen","CrossGen","",""
"AUDIT SERIES","Ruse","Ruse","CrossGen","CrossGen","2001","2004"
"AUDIT AUTHORITY","Negation","","CrossGen","CrossGen","",""
"AUDIT SERIES","Negation","Negation","CrossGen","CrossGen","2001","2004"
"AUDIT SERIES","Negation","Negation War","CrossGen","CrossGen","2004","2004"
"AUDIT SERIES","Negation","Negation: Lawbringer","CrossGen","CrossGen","2002","2002"
"AUDIT AUTHORITY","Crux","","CrossGen","CrossGen","",""
"AUDIT SERIES","Crux","Crux","CrossGen","CrossGen","2001","2004"
"AUDIT AUTHORITY","Route 666","","CrossGen","CrossGen","",""
"AUDIT SERIES","Route 666","Route 666","CrossGen","CrossGen","2002","2004"
"AUDIT AUTHORITY","Brath","","CrossGen","CrossGen","",""
"AUDIT SERIES","Brath","Brath","CrossGen","CrossGen","2003","2004"
"AUDIT AUTHORITY","The Path","","CrossGen","CrossGen","",""
"AUDIT SERIES","The Path","The Path","CrossGen","CrossGen","2002","2003"
"AUDIT AUTHORITY","Solus","","CrossGen","CrossGen","",""
"AUDIT SERIES","Solus","Solus","CrossGen","CrossGen","2003","2004"
"AUDIT AUTHORITY","Way of the Rat","","CrossGen","CrossGen","",""
"AUDIT SERIES","Way of the Rat","Way of the Rat","CrossGen","CrossGen","2002","2004"
"AUDIT AUTHORITY","El Cazador","","CrossGen","CrossGen","",""
"AUDIT SERIES","El Cazador","El Cazador","CrossGen","CrossGen","2003","2004"
"AUDIT AUTHORITY","Kiss Kiss Bang Bang","","CrossGen","CrossGen","",""
"AUDIT SERIES","Kiss Kiss Bang Bang","Kiss Kiss Bang Bang","CrossGen","CrossGen","2004","2004"
"AUDIT AUTHORITY","Abadazad","","CrossGen","CrossGen","",""
"AUDIT SERIES","Abadazad","Abadazad","CrossGen","CrossGen","2004","2004"
