Era,Series Title,Parent Authority,Result,Authority ID
Future State,Future State: Immortal Wonder Woman,Future State,Added,SER-01631
Future State,Future State: Justice League,Future State,Added,SER-01632
Future State,"Future State: Kara Zor-El, Superwoman",Future State,Added,SER-01633
Future State,Future State: Legion of Super-Heroes,Future State,Added,SER-01634
Future State,Future State: Nightwing,Future State,Added,SER-01635
Future State,Future State: Robin Eternal,Future State,Added,SER-01636
Future State,Future State: Shazam!,Future State,Added,SER-01637
Future State,Future State: Suicide Squad,Future State,Added,SER-01638
Future State,Future State: Superman of Metropolis,Future State,Added,SER-01639
Future State,Future State: Superman vs. Imperious Lex,Future State,Added,SER-01640
Future State,Future State: Superman/Wonder Woman,Future State,Added,SER-01641
Future State,Future State: Swamp Thing,Future State,Added,SER-01642
Future State,Future State: Teen Titans,Future State,Added,SER-01643
Future State,Future State: The Flash,Future State,Added,SER-01644
Future State,Future State: The Next Batman,Future State,Added,SER-01645
Future State,Future State: Wonder Woman,Future State,Added,SER-01646
Future State,Future State: Wonder Woman: Nubia,Future State,Added,SER-01647
Infinite Frontier,Infinite Frontier,DC Universe,Added,SER-01648
Infinite Frontier,Justice League Incarnate,DC Universe,Added,SER-01649
Infinite Frontier,Dark Crisis on Infinite Earths,DC Universe,Added,SER-01650
Infinite Frontier,Batman: Urban Legends,Batman,Already present,
Infinite Frontier,Batman: The Detective,Batman,Already present,
Infinite Frontier,Batman: Reptilian,Batman,Already present,
Infinite Frontier,Batman: The Imposter,Batman,Already present,
Infinite Frontier,Batman: One Dark Knight,Batman,Already present,
Infinite Frontier,Batman: Killing Time,Batman,Already present,
Infinite Frontier,Batman: The Knight,Batman,Already present,
Infinite Frontier,Batman: Fortress,Batman,Added,SER-01651
Infinite Frontier,Batman: Beyond the White Knight,Batman,Already present,
Infinite Frontier,Batman Beyond: Neo-Year,Batman,Added,SER-01652
Infinite Frontier,Batman/Catwoman,Batman,Added,SER-01653
Infinite Frontier,Batman: Dear Detective,Batman,Added,SER-01654
Infinite Frontier,Batman vs. Robin,Batman,Added,SER-01655
Infinite Frontier,Robin & Batman,Batman,Added,SER-01656
Infinite Frontier,Robin,Batman,Already present,
Infinite Frontier,I Am Batman,Batman,Added,SER-01657
Infinite Frontier,Detective Comics: The Tower,Batman,Added,SER-01658
Infinite Frontier,The Joker,Batman,Added,SER-01659
Infinite Frontier,The Joker Presents: A Puzzlebox,Batman,Added,SER-01660
Infinite Frontier,Catwoman: Lonely City,Catwoman,Added,SER-01661
Infinite Frontier,Nightwing,Nightwing,Already present,
Infinite Frontier,Batgirls,Batgirls,Added,SER-01662
Infinite Frontier,Poison Ivy,Poison Ivy,Already present,
Infinite Frontier,Arkham City: The Order of the World,DC Universe,Added,SER-01663
Infinite Frontier,Task Force Z,DC Universe,Already present,
Infinite Frontier,Superman: Son of Kal-El,Superman,Added,SER-01664
Infinite Frontier,Superman and the Authority,Superman,Added,SER-01665
Infinite Frontier,Superman '78,Superman,Added,SER-01666
Infinite Frontier,Superman: Space Age,Superman,Already present,
Infinite Frontier,Superman: Lost,Superman,Already present,
Infinite Frontier,World of Krypton,Superman,Added,SER-01667
Infinite Frontier,The Jurassic League,Superman,Added,SER-01668
Infinite Frontier,Monkey Prince,Superman,Added,SER-01669
Infinite Frontier,Batman/Superman: World's Finest,World's Finest (Batman & Superman),Already present,
Infinite Frontier,Wonder Girl,Wonder Woman,Added,SER-01670
Infinite Frontier,Nubia & the Amazons,Wonder Woman,Added,SER-01671
Infinite Frontier,Nubia: Coronation Special,Wonder Woman,Added,SER-01672
Infinite Frontier,Trial of the Amazons,Wonder Woman,Added,SER-01673
Infinite Frontier,Trial of the Amazons: Wonder Girl,Wonder Woman,Added,SER-01674
Infinite Frontier,Artemis: Wanted,Wonder Woman,Added,SER-01675
Infinite Frontier,Tales of the Amazons,Wonder Woman,Added,SER-01676
Infinite Frontier,Aquaman: The Becoming,Aquaman,Added,SER-01677
Infinite Frontier,Aquaman/Green Arrow: Deep Target,Aquaman,Added,SER-01678
Infinite Frontier,Aquamen,Aquaman,Added,SER-01679
Infinite Frontier,Aquaman & The Flash: Voidsong,Aquaman,Added,SER-01680
Infinite Frontier,Green Lantern: War Journal,Green Lantern,Added,SER-01681
Infinite Frontier,The Flash,The Flash,Already present,
Infinite Frontier,Flashpoint Beyond,The Flash,Already present,
Infinite Frontier,Blue Beetle: Graduation Day,Blue Beetle,Added,SER-01682
Infinite Frontier,Blue & Gold,Blue Beetle,Added,SER-01683
Infinite Frontier,Black Adam,Black Adam,Added,SER-01684
Infinite Frontier,Black Manta,Black Manta,Added,SER-01685
Infinite Frontier,Deathstroke Inc.,Deathstroke,Added,SER-01686
Infinite Frontier,Teen Titans Academy,Robin / Teen Titans,Already present,
Infinite Frontier,Titans United,Robin / Teen Titans,Already present,
Infinite Frontier,Titans United: Bloodpact,Robin / Teen Titans,Added,SER-01687
Infinite Frontier,Suicide Squad: Get Joker!,Suicide Squad,Added,SER-01688
Infinite Frontier,Suicide Squad: Blaze,Suicide Squad,Added,SER-01689
Infinite Frontier,Justice League: Last Ride,Justice League,Already present,
Infinite Frontier,Justice League vs. The Legion of Super-Heroes,Justice League,Added,SER-01690
Infinite Frontier,The New Golden Age,Justice Society of America,Already present,
Infinite Frontier,Stargirl: The Lost Children,Justice Society of America,Added,SER-01691
Infinite Frontier,DC vs. Vampires,DC Universe,Already present,
Infinite Frontier,DC vs. Vampires: All-Out War,DC Universe,Already present,
Infinite Frontier,DC vs. Vampires: Killers,DC Universe,Added,SER-01692
Infinite Frontier,DC vs. Vampires: Hunters,DC Universe,Added,SER-01693
Infinite Frontier,DC vs. Vampires: Coffin Edition,DC Universe,Added,SER-01694
Infinite Frontier,DCeased: War of the Undead Gods,DCeased,Already present,
Infinite Frontier,Dark Knights of Steel,DC Universe,Added,SER-01695
Infinite Frontier,The Human Target,DC Universe,Already present,
