"action","authority","title","publisher","publishing_line","start_year","end_year"
"AUDIT SERIES","Grendel","Grendel: Behold the Devil","Dark Horse","Maverick","2007","2008"
"AUDIT SERIES","Grendel","Grendel: Devil’s Odyssey","Dark Horse","Maverick","2019","2021"
"AUDIT AUTHORITY","Harrow County","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Harrow County","Harrow County","Dark Horse","Dark Horse Originals","2015","2018"
"AUDIT SERIES","Harrow County","Tales from Harrow County: Death’s Choir","Dark Horse","Dark Horse Originals","2019","2020"
"AUDIT SERIES","Harrow County","Tales from Harrow County: Fair Folk","Dark Horse","Dark Horse Originals","2021","2021"
"AUDIT AUTHORITY","Jenny Finn","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Jenny Finn","Jenny Finn: Doom Messiah","Dark Horse","Dark Horse Originals","2005","2005"
"AUDIT AUTHORITY","Jingle Belle","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Jingle Belle","Jingle Belle","Dark Horse","Dark Horse Originals","2004","2005"
"AUDIT SERIES","Jingle Belle","Jingle Belle: The Fight Before Christmas","Dark Horse","Dark Horse Originals","2005","2005"
"AUDIT AUTHORITY","Lady Killer","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Lady Killer","Lady Killer","Dark Horse","Dark Horse Originals","2015","2015"
"AUDIT SERIES","Lady Killer","Lady Killer 2","Dark Horse","Dark Horse Originals","2016","2017"
"AUDIT AUTHORITY","The Mask","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The Mask","The Mask","Dark Horse","Dark Horse Originals","1991","1992"
"AUDIT SERIES","The Mask","The Mask Returns","Dark Horse","Dark Horse Originals","1992","1993"
"AUDIT SERIES","The Mask","The Mask Strikes Back","Dark Horse","Dark Horse Originals","1995","1995"
"AUDIT SERIES","The Mask","The Mask: The Hunt for Green October","Dark Horse","Dark Horse Originals","1995","1995"
"AUDIT SERIES","The Mask","The Mask: World Tour","Dark Horse","Dark Horse Originals","1995","1996"
"AUDIT SERIES","The Mask","I Pledge Allegiance to the Mask","Dark Horse","Dark Horse Originals","2019","2020"
"AUDIT AUTHORITY","The Massive","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The Massive","The Massive","Dark Horse","Dark Horse Originals","2012","2014"
"AUDIT SERIES","The Massive","The Massive: Ninth Wave","Dark Horse","Dark Horse Originals","2015","2016"
"AUDIT AUTHORITY","Mind MGMT","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Mind MGMT","Mind MGMT","Dark Horse","Dark Horse Originals","2012","2015"
"AUDIT SERIES","Mind MGMT","Mind MGMT: Bootleg","Dark Horse","Dark Horse Originals","2022","2022"
"AUDIT AUTHORITY","Nexus","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Nexus","Nexus","Dark Horse","Dark Horse Originals","1992","1997"
"AUDIT SERIES","Nexus","Nexus: The Origin","Dark Horse","Dark Horse Originals","1992","1992"
"AUDIT SERIES","Nexus","Nexus: Alien Justice","Dark Horse","Dark Horse Originals","1992","1993"
"AUDIT SERIES","Nexus","Nexus: Nightmare in Blue","Dark Horse","Dark Horse Originals","1997","1997"
"AUDIT AUTHORITY","Noir","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Noir","Noir: A Collection of Crime Comics","Dark Horse","Dark Horse Originals","2009","2009"
"AUDIT AUTHORITY","Norse Mythology","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Norse Mythology","Norse Mythology","Dark Horse","Dark Horse Originals","2020","2021"
"AUDIT SERIES","Norse Mythology","Norse Mythology II","Dark Horse","Dark Horse Originals","2021","2022"
"AUDIT SERIES","Norse Mythology","Norse Mythology III","Dark Horse","Dark Horse Originals","2022","2023"
"AUDIT AUTHORITY","The Perhapanauts","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The Perhapanauts","The Perhapanauts","Dark Horse","Dark Horse Originals","2005","2006"
"AUDIT SERIES","The Perhapanauts","The Perhapanauts: Second Chances","Dark Horse","Dark Horse Originals","2006","2007"
"AUDIT AUTHORITY","Polar","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Polar","Polar","Dark Horse","Dark Horse Originals","2013","2019"
"AUDIT AUTHORITY","Resident Alien","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Resident Alien","Resident Alien: Welcome to Earth!","Dark Horse","Dark Horse Originals","2012","2012"
"AUDIT SERIES","Resident Alien","Resident Alien: The Suicide Blonde","Dark Horse","Dark Horse Originals","2013","2014"
"AUDIT SERIES","Resident Alien","Resident Alien: The Sam Hain Mystery","Dark Horse","Dark Horse Originals","2015","2015"
"AUDIT SERIES","Resident Alien","Resident Alien: The Man with No Name","Dark Horse","Dark Horse Originals","2016","2016"
"AUDIT SERIES","Resident Alien","Resident Alien: An Alien in New York","Dark Horse","Dark Horse Originals","2018","2018"
"AUDIT SERIES","Resident Alien","Resident Alien: Your Ride’s Here","Dark Horse","Dark Horse Originals","2020","2021"
"AUDIT SERIES","Resident Alien","Resident Alien: The Book of Love","Dark Horse","Dark Horse Originals","2022","2023"
"AUDIT AUTHORITY","Rumble","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Rumble","Rumble","Dark Horse","Dark Horse Originals","2017","2019"
"AUDIT AUTHORITY","Sin City","","Dark Horse","Legend / Maverick","",""
"AUDIT SERIES","Sin City","Sin City","Dark Horse","Legend / Maverick","1991","1992"
"AUDIT SERIES","Sin City","A Dame to Kill For","Dark Horse","Legend / Maverick","1993","1994"
"AUDIT SERIES","Sin City","The Big Fat Kill","Dark Horse","Legend / Maverick","1994","1995"
"AUDIT SERIES","Sin City","That Yellow Bastard","Dark Horse","Legend / Maverick","1996","1996"
"AUDIT SERIES","Sin City","Family Values","Dark Horse","Legend / Maverick","1997","1997"
"AUDIT SERIES","Sin City","Booze, Broads, & Bullets","Dark Horse","Legend / Maverick","1998","1998"
"AUDIT SERIES","Sin City","Hell and Back","Dark Horse","Legend / Maverick","1999","2000"
"AUDIT AUTHORITY","Sock Monkey","","Dark Horse","Maverick","",""
"AUDIT SERIES","Sock Monkey","Sock Monkey","Dark Horse","Maverick","1998","1998"
"AUDIT SERIES","Sock Monkey","Sock Monkey","Dark Horse","Maverick","1999","1999"
"AUDIT SERIES","Sock Monkey","Sock Monkey","Dark Horse","Maverick","2000","2000"
"AUDIT SERIES","Sock Monkey","Uncle Gabby","Dark Horse","Maverick","2004","2004"
"AUDIT AUTHORITY","Space Usagi","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Space Usagi","Space Usagi","Dark Horse","Dark Horse Originals","1992","1993"
"AUDIT SERIES","Space Usagi","Space Usagi: Death and Honor","Dark Horse","Dark Horse Originals","1995","1995"
"AUDIT AUTHORITY","The Strain","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The Strain","The Strain","Dark Horse","Dark Horse Originals","2011","2012"
"AUDIT SERIES","The Strain","The Strain: The Fall","Dark Horse","Dark Horse Originals","2013","2014"
"AUDIT SERIES","The Strain","The Strain: The Night Eternal","Dark Horse","Dark Horse Originals","2014","2015"
"AUDIT SERIES","The Strain","The Strain: Mister Quinlan – Vampire Hunter","Dark Horse","Dark Horse Originals","2016","2017"
"AUDIT AUTHORITY","Too Much Coffee Man","","Dark Horse","Maverick","",""
"AUDIT SERIES","Too Much Coffee Man","Too Much Coffee Man","Dark Horse","Maverick","1994","2000"
"AUDIT SERIES","Too Much Coffee Man","Too Much Coffee Man’s Parade of Tirade","Dark Horse","Maverick","1999","1999"
"AUDIT AUTHORITY","The Umbrella Academy","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The Umbrella Academy","The Umbrella Academy: Apocalypse Suite","Dark Horse","Dark Horse Originals","2007","2008"
"AUDIT SERIES","The Umbrella Academy","The Umbrella Academy: Dallas","Dark Horse","Dark Horse Originals","2008","2009"
"AUDIT SERIES","The Umbrella Academy","The Umbrella Academy: Hotel Oblivion","Dark Horse","Dark Horse Originals","2018","2019"
"AUDIT SERIES","The Umbrella Academy","Tales from the Umbrella Academy: You Look Like Death","Dark Horse","Dark Horse Originals","2020","2021"
"AUDIT SERIES","The Umbrella Academy","The Umbrella Academy: Plan B","Dark Horse","Dark Horse Originals","2025","2026"
"AUDIT AUTHORITY","Usagi Yojimbo","","Dark Horse","Maverick","",""
"AUDIT SERIES","Usagi Yojimbo","Usagi Yojimbo","Dark Horse","Maverick","1996","2019"
"AUDIT SERIES","Usagi Yojimbo","Usagi Yojimbo: Senso","Dark Horse","Maverick","2014","2014"
"AUDIT SERIES","Usagi Yojimbo","Usagi Yojimbo: The Hidden","Dark Horse","Maverick","2018","2018"
"AUDIT AUTHORITY","Hellboy","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","Hellboy","Hellboy: Seed of Destruction","Dark Horse","Hellboy Universe","1994","1994"
"AUDIT SERIES","Hellboy","Hellboy: Wake the Devil","Dark Horse","Hellboy Universe","1996","1996"
"AUDIT SERIES","Hellboy","Hellboy: Almost Colossus","Dark Horse","Hellboy Universe","1997","1997"
"AUDIT SERIES","Hellboy","Hellboy: The Right Hand of Doom","Dark Horse","Hellboy Universe","1998","2000"
"AUDIT SERIES","Hellboy","Hellboy: Conqueror Worm","Dark Horse","Hellboy Universe","2001","2001"
"AUDIT SERIES","Hellboy","Hellboy: The Third Wish","Dark Horse","Hellboy Universe","2002","2002"
"AUDIT SERIES","Hellboy","Hellboy: The Island","Dark Horse","Hellboy Universe","2005","2005"
"AUDIT SERIES","Hellboy","Hellboy in Hell","Dark Horse","Hellboy Universe","2012","2016"
"AUDIT SERIES","Hellboy","Young Hellboy: The Hidden Land","Dark Horse","Hellboy Universe","2021","2021"
"AUDIT AUTHORITY","B.P.R.D.","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","B.P.R.D.","B.P.R.D.: Hollow Earth","Dark Horse","Hellboy Universe","2002","2002"
"AUDIT SERIES","B.P.R.D.","B.P.R.D.","Dark Horse","Hellboy Universe","2003","2012"
"AUDIT SERIES","B.P.R.D.","B.P.R.D.: Plague of Frogs","Dark Horse","Hellboy Universe","2004","2005"
"AUDIT SERIES","B.P.R.D.","B.P.R.D.: Hell on Earth","Dark Horse","Hellboy Universe","2010","2017"
"AUDIT SERIES","B.P.R.D.","B.P.R.D.: The Devil You Know","Dark Horse","Hellboy Universe","2017","2019"
"AUDIT AUTHORITY","Abe Sapien","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","Abe Sapien","Abe Sapien: Drums of the Dead","Dark Horse","Hellboy Universe","1998","1998"
"AUDIT SERIES","Abe Sapien","Abe Sapien: The Drowning","Dark Horse","Hellboy Universe","2008","2008"
"AUDIT SERIES","Abe Sapien","Abe Sapien","Dark Horse","Hellboy Universe","2013","2016"
"AUDIT AUTHORITY","Hellboy and the B.P.R.D.","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","Hellboy and the B.P.R.D.","Hellboy and the B.P.R.D.","Dark Horse","Hellboy Universe","2014","2023"
"AUDIT AUTHORITY","Lobster Johnson","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","Lobster Johnson","Lobster Johnson: The Iron Prometheus","Dark Horse","Hellboy Universe","2007","2008"
"AUDIT SERIES","Lobster Johnson","Lobster Johnson: The Burning Hand","Dark Horse","Hellboy Universe","2012","2012"
"AUDIT SERIES","Lobster Johnson","Lobster Johnson: Get the Lobster","Dark Horse","Hellboy Universe","2014","2014"
"AUDIT AUTHORITY","Witchfinder","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","Witchfinder","Sir Edward Grey, Witchfinder: In the Service of Angels","Dark Horse","Hellboy Universe","2009","2009"
"AUDIT SERIES","Witchfinder","Witchfinder: Lost and Gone Forever","Dark Horse","Hellboy Universe","2011","2011"
"AUDIT SERIES","Witchfinder","Witchfinder: The Mysteries of Unland","Dark Horse","Hellboy Universe","2014","2014"
"AUDIT SERIES","Witchfinder","Witchfinder: City of the Dead","Dark Horse","Hellboy Universe","2016","2017"
"AUDIT SERIES","Witchfinder","Witchfinder: The Gates of Heaven","Dark Horse","Hellboy Universe","2018","2018"
"AUDIT AUTHORITY","Frankenstein Underground","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","Frankenstein Underground","Frankenstein Underground","Dark Horse","Hellboy Universe","2015","2015"
"AUDIT AUTHORITY","Joe Golem","","Dark Horse","Outerverse","",""
"AUDIT SERIES","Joe Golem","Joe Golem: Occult Detective","Dark Horse","Outerverse","2015","2017"
"AUDIT SERIES","Joe Golem","Joe Golem: Occult Detective – The Drowning City","Dark Horse","Outerverse","2018","2018"
"AUDIT SERIES","Joe Golem","Joe Golem: Occult Detective – The Conjurors","Dark Horse","Outerverse","2019","2019"
"AUDIT AUTHORITY","Koschei","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","Koschei","Koschei the Deathless","Dark Horse","Hellboy Universe","2018","2018"
"AUDIT SERIES","Koschei","Koschei in Hell","Dark Horse","Hellboy Universe","2022","2023"
"AUDIT AUTHORITY","Lady Baltimore","","Dark Horse","Outerverse","",""
"AUDIT SERIES","Lady Baltimore","Lady Baltimore: The Witch Queens","Dark Horse","Outerverse","2021","2021"
"AUDIT AUTHORITY","The Visitor","","Dark Horse","Hellboy Universe","",""
"AUDIT SERIES","The Visitor","The Visitor: How and Why He Stayed","Dark Horse","Hellboy Universe","2017","2017"
"AUDIT AUTHORITY","Barb Wire","","Dark Horse","Comics' Greatest World / Project Black Sky","",""
"AUDIT SERIES","Barb Wire","Barb Wire","Dark Horse","Comics' Greatest World / Project Black Sky","1994","1995"
"AUDIT SERIES","Barb Wire","Barb Wire: Ace of Spades","Dark Horse","Comics' Greatest World / Project Black Sky","1996","1996"
"AUDIT SERIES","Barb Wire","Barb Wire","Dark Horse","Comics' Greatest World / Project Black Sky","2015","2016"
"AUDIT AUTHORITY","Ghost","","Dark Horse","Comics' Greatest World / Project Black Sky","",""
"AUDIT SERIES","Ghost","Ghost","Dark Horse","Comics' Greatest World / Project Black Sky","1995","1998"
"AUDIT SERIES","Ghost","Ghost","Dark Horse","Comics' Greatest World / Project Black Sky","1998","2000"
"AUDIT SERIES","Ghost","Ghost","Dark Horse","Comics' Greatest World / Project Black Sky","2012","2013"
"AUDIT SERIES","Ghost","Ghost","Dark Horse","Comics' Greatest World / Project Black Sky","2013","2015"
"AUDIT AUTHORITY","X","","Dark Horse","Comics' Greatest World / Project Black Sky","",""
"AUDIT SERIES","X","X","Dark Horse","Comics' Greatest World / Project Black Sky","1994","1996"
"AUDIT SERIES","X","X","Dark Horse","Comics' Greatest World / Project Black Sky","2013","2015"
"AUDIT AUTHORITY","Catalyst","","Dark Horse","Comics' Greatest World / Project Black Sky","",""
"AUDIT SERIES","Catalyst","Catalyst: Agents of Change","Dark Horse","Comics' Greatest World / Project Black Sky","1994","1994"
"AUDIT SERIES","Catalyst","Catalyst Comix","Dark Horse","Comics' Greatest World / Project Black Sky","2013","2014"
"AUDIT AUTHORITY","Agents of Law","","Dark Horse","Comics' Greatest World","",""
"AUDIT SERIES","Agents of Law","Agents of Law","Dark Horse","Comics' Greatest World","1995","1995"
"AUDIT AUTHORITY","Division 13","","Dark Horse","Comics' Greatest World","",""
"AUDIT SERIES","Division 13","Division 13","Dark Horse","Comics' Greatest World","1994","1995"
"AUDIT AUTHORITY","Hero Zero","","Dark Horse","Comics' Greatest World","",""
