change,id,title,old_parent,new_parent,publisher,type,publishing_line
"ADDED","DCA-0110","Bizarro: Year None","","","DC","Series",""
"REPAIRED","SER-01835","Bizarro: Year None","DC Universe","Bizarro: Year None","DC","Series",""
"ADDED","DCA-0111","Black Lightning/Hong Kong Phooey Special","","","DC","Series",""
"REPAIRED","SER-01551","Black Lightning/Hong Kong Phooey Special","DC Universe","Black Lightning/Hong Kong Phooey Special","DC","Series",""
"ADDED","DCA-0086","Blackest Night","","","DC","Event",""
"REPAIRED","EVT-00076","Blackest Night","Justice League / Universe-Wide","Blackest Night","DC","Event",""
"ADDED","DCA-0112","Bleeding Hearts","","","DC","Series","Vertigo"
"REPAIRED","SER-01864","Bleeding Hearts","Vertigo / Black Label","Bleeding Hearts","DC","Series","Vertigo"
"REPAIRED","SER-01479","Bloodlines","DC Universe","Bloodlines","DC","Series",""
"REPAIRED","SER-00834","Blue Beetle","The Question","Blue Beetle","DC","Series",""
"ADDED","DCA-0030","Bodies","","","DC","Series","Vertigo"
"ADDED","DCS-0037","Bodies","","Bodies","DC","Series","Vertigo"
"REPAIRED","SER-01484","Bombshells","DC Universe","DC Bombshells","DC","Series",""
"REPAIRED","SER-01871","Books of Magic","Sandman","The Books of Magic","DC","Series","Sandman Universe"
"ADDED","DCA-0202","The Brave and the Bold","","","DC","Series",""
"REPAIRED","SER-00484","The Brave and the Bold","Metamorpho","The Brave and the Bold","DC","Series",""
"REPAIRED","SER-00751","The Brave and the Bold","Suicide Squad","The Brave and the Bold","DC","Series",""
"REPAIRED","EVT-00149","Brightest Day","DC Universe","Brightest Day","DC","Event",""
"REPAIRED","SER-01527","Bug! The Adventures of Forager","DC Universe","Forager","DC","Series","Young Animal"
"REPAIRED","SER-00535","Captain Atom","Nightshade","Captain Atom","DC","Series",""
"ADDED","DCA-0034","Cave Carson","","","DC","Series","Young Animal"
"REPAIRED","SER-01596","Cave Carson Has a Cybernetic Eye","DC Universe","Cave Carson","DC","Series","Young Animal"
"ADDED","DCS-0053","Cave Carson Has a Cybernetic Eye/Swamp Thing Special","","Milk Wars","DC","Series","Young Animal"
"REPAIRED","SER-01597","Cave Carson Has an Interstellar Eye","DC Universe","Cave Carson","DC","Series","Young Animal"
"ADDED","DCA-0117","Cheetah and Cheshire Rob the Justice League","","","DC","Series",""
"REPAIRED","SER-01854","Cheetah and Cheshire Rob the Justice League","DC Universe","Cheetah and Cheshire Rob the Justice League","DC","Series",""
"ADDED","DCA-0118","City Boy","","","DC","Series",""
"REPAIRED","SER-01753","City Boy","DC Universe","City Boy","DC","Series",""
"ADDED","DCA-0119","Clayface: Celebrity Dirt","","","DC","Series",""
"REPAIRED","SER-01834","Clayface: Celebrity Dirt","DC Universe","Clayface: Celebrity Dirt","DC","Series",""
"ADDED","DCA-0004","Clean Room","","","DC","Series","Vertigo"
"ADDED","DCS-0006","Clean Room","","Clean Room","DC","Series","Vertigo"
"ADDED","DCA-0029","Coffin Hill","","","DC","Series","Vertigo"
"ADDED","DCS-0036","Coffin Hill","","Coffin Hill","DC","Series","Vertigo"
"ADDED","DCA-0033","Collapser","","","DC","Series","Young Animal"
"ADDED","DCS-0041","Collapser","","Collapser","DC","Series","Young Animal"
"ADDED","DCA-0080","The Comet","","","DC","Series","Impact"
"REPAIRED","SER-00372","The Comet","Impact Comics Imprint (Archie superheroes revival)","The Comet","DC","Series","Impact"
"ADDED","DCA-0046","The Conjuring: The Lover","","","DC","Series","DC Horror"
"ADDED","DCS-0062","The Conjuring: The Lover","","The Conjuring: The Lover","DC","Series","DC Horror"
"REPAIRED","EVT-00061","Convergence","Crisis Saga","Convergence","DC","Event",""
"ADDED","DCA-0087","Cosmic Odyssey","","","DC","Event",""
"REPAIRED","EVT-00108","Cosmic Odyssey","DC Universe","Cosmic Odyssey","DC","Event",""
"REPAIRED","EVT-00132","Countdown","Crisis Saga","Countdown to Final Crisis","DC","Event",""
"REPAIRED","EVT-00133","Countdown to Final Crisis","Crisis Saga","Countdown to Final Crisis","DC","Event",""
"REPAIRED","EVT-00121","Countdown to Infinite Crisis","Crisis Saga","Infinite Crisis","DC","Event",""
"ADDED","DCA-0088","Crisis on Infinite Earths","","","DC","Event",""
"REPAIRED","EVT-00062","Crisis on Infinite Earths","Crisis Saga","Crisis on Infinite Earths","DC","Event",""
"ADDED","DCA-0005","The Crusades","","","DC","Series","Vertigo"
"ADDED","DCS-0007","The Crusades","","The Crusades","DC","Series","Vertigo"
"ADDED","DCA-0122","Crush & Lobo","","","DC","Series",""
"REPAIRED","SER-01698","Crush & Lobo","DC Universe","Crush & Lobo","DC","Series",""
"ADDED","DCA-0184","The Curse of Brimstone","","","DC","Series",""
"ADDED","DCA-0123","Damage","","","DC","Series",""
"REPAIRED","SER-01534","Damage","DC Universe","Damage","DC","Series",""
"ADDED","DCA-0124","Danger Street","","","DC","Series","Black Label"
"REPAIRED","SER-01696","Danger Street","DC Universe","Danger Street","DC","Series","Black Label"
"ADDED","DCA-0041","Daphne Byrne","","","DC","Series","Hill House Comics"
"REPAIRED","SER-01619","Daphne Byrne","DC Universe","Daphne Byrne","DC","Series","Hill House Comics"
"REPAIRED","SER-01650","Dark Crisis on Infinite Earths","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01722","Dark Crisis: The Dark Army","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01721","Dark Crisis: The Deadly Green","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01723","Dark Crisis: War Zone","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01716","Dark Crisis: Worlds Without a Justice League – Batman","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01717","Dark Crisis: Worlds Without a Justice League – Green Arrow","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01718","Dark Crisis: Worlds Without a Justice League – Green Lantern","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01719","Dark Crisis: Worlds Without a Justice League – Superman","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01720","Dark Crisis: Worlds Without a Justice League – Wonder Woman","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"REPAIRED","SER-01715","Dark Crisis: Young Justice","DC Universe","Dark Crisis on Infinite Earths","DC","Series",""
"ADDED","DCA-0125","Dark Knights of Steel","","","DC","Series",""
"REPAIRED","SER-01695","Dark Knights of Steel","DC Universe","Dark Knights of Steel","DC","Series",""
"REPAIRED","SER-01837","Dark Knights of Steel II","DC Universe","Dark Knights of Steel","DC","Series",""
"ADDED","DCA-0089","Dark Nights: Death Metal","","","DC","Event",""
"REPAIRED","EVT-00063","Dark Nights: Death Metal","Crisis Saga","Dark Nights: Death Metal","DC","Event",""
"REPAIRED","SER-01574","Dark Nights: Death Metal","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01575","Dark Nights: Death Metal – Legends of the Dark Knights","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01578","Dark Nights: Death Metal – Multiverse's End","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01579","Dark Nights: Death Metal – Rise of the New God","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01577","Dark Nights: Death Metal – Speed Metal","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01582","Dark Nights: Death Metal – The Last 52: War of the Multiverses","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01581","Dark Nights: Death Metal – The Last Stories of the DC Universe","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01580","Dark Nights: Death Metal – The Secret Origin","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","SER-01576","Dark Nights: Death Metal – Trinity Crisis","DC Universe","Dark Nights: Death Metal","DC","Series",""
"REPAIRED","EVT-00064","Dark Nights: Metal","Crisis Saga","Dark Nights: Metal","DC","Event",""
"REPAIRED","SER-01510","Dark Nights: Metal","DC Universe","Dark Nights: Metal","DC","Series",""
"ADDED","DCA-0076","Dastardly and Muttley","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01495","Dastardly and Muttley","DC Universe","Dastardly and Muttley","DC","Series",""
"ADDED","DCA-0090","Day of Judgment","","","DC","Event",""
"REPAIRED","EVT-00118","Day of Judgment","DC Universe","Day of Judgment","DC","Event",""
"REPAIRED","EVT-00122","Day of Vengeance","Crisis Saga","Infinite Crisis","DC","Event",""
"ADDED","DCA-0006","Daytripper","","","DC","Series","Vertigo"
"ADDED","DCS-0008","Daytripper","","Daytripper","DC","Series","Vertigo"
"ADDED","DCA-0127","DC All In Special","","","DC","Series",""
"REPAIRED","SER-01807","DC All In Special","DC Universe","DC All In Special","DC","Series",""
"ADDED","DCA-0113","DC Bombshells","","","DC","Series",""
"REPAIRED","SER-01485","DC Comics Bombshells","DC Universe","DC Bombshells","DC","Series",""
"REPAIRED","SER-01486","DC Comics: Bombshells United","DC Universe","DC Bombshells","DC","Series",""
"ADDED","DCA-0128","DC Horror Presents","","","DC","Series","DC Horror"
"REPAIRED","SER-01840","DC Horror Presents","DC Universe","DC Horror Presents","DC","Series","DC Horror"
"ADDED","DCA-0129","DC K.O.","","","DC","Series",""
"REPAIRED","SER-01843","DC K.O.","DC Universe","DC K.O.","DC","Series",""
"REPAIRED","EVT-00179","DC K.O.: Boss Battle","DC Universe","DC K.O.","DC","Event",""
"REPAIRED","EVT-00178","DC K.O.: Green Lantern Galactic Slam","DC Universe","DC K.O.","DC","Event",""
"REPAIRED","SER-01847","DC K.O.: Harley Quinn vs. Zatanna","DC Universe","DC K.O.","DC","Series",""
"REPAIRED","SER-01844","DC K.O.: Knightfight","DC Universe","DC K.O.","DC","Series",""
"REPAIRED","SER-01846","DC K.O.: Red Hood vs. Joker","DC Universe","DC K.O.","DC","Series",""
"REPAIRED","SER-01845","DC K.O.: Superman vs. Captain Atom","DC Universe","DC K.O.","DC","Series",""
"ADDED","DCA-0130","DC Meets Hanna-Barbera","","","DC","Series",""
"REPAIRED","SER-01545","DC Meets Hanna-Barbera","DC Universe","DC Meets Hanna-Barbera","DC","Series",""
"ADDED","DCA-0091","DC One Million","","","DC","Event",""
"REPAIRED","EVT-00117","DC One Million","DC Universe","DC One Million","DC","Event",""
"ADDED","DCA-0131","DC Universe Presents","","","DC","Series",""
"REPAIRED","SER-01347","DC Universe Presents","DC Universe","DC Universe Presents","DC","Series",""
"ADDED","DCA-0132","DC Universe: Rebirth","","","DC","Series",""
"REPAIRED","EVT-00080","DC Universe: Rebirth","Rebirth Era","DC Universe: Rebirth","DC","Event",""
"REPAIRED","SER-01505","DC Universe: Rebirth","DC Universe","DC Universe: Rebirth","DC","Series",""
"ADDED","DCA-0133","DC vs. Vampires","","","DC","Series",""
"REPAIRED","SER-01066","DC vs. Vampires","DC Universe","DC vs. Vampires","DC","Series",""
"REPAIRED","SER-01067","DC vs. Vampires: All-Out War","DC Universe","DC vs. Vampires","DC","Series",""
"REPAIRED","SER-01694","DC vs. Vampires: Coffin Edition","DC Universe","DC vs. Vampires","DC","Series",""
"REPAIRED","SER-01693","DC vs. Vampires: Hunters","DC Universe","DC vs. Vampires","DC","Series",""
"REPAIRED","SER-01692","DC vs. Vampires: Killers","DC Universe","DC vs. Vampires","DC","Series",""
"REPAIRED","SER-01842","DC vs. Vampires: World War V","DC Universe","DC vs. Vampires","DC","Series",""
"ADDED","DCA-0134","DC x Sonic the Hedgehog","","","DC","Series",""
"REPAIRED","SER-01866","DC x Sonic the Hedgehog","DC Universe","DC x Sonic the Hedgehog","DC","Series",""
"REPAIRED","SER-01867","DC x Sonic the Hedgehog: The Metal Legion","DC Universe","DC x Sonic the Hedgehog","DC","Series",""
"ADDED","DCA-0135","DC: The New Frontier","","","DC","Series","Elseworlds"
"REPAIRED","SER-00250","DC: The New Frontier","Elseworlds / Alternate Universe","DC: The New Frontier","DC","Series","Elseworlds"
"REPAIRED","EVT-00175","DC's Year of the Villain Special","DC Universe","Year of the Villain","DC","Event",""
"REPAIRED","SER-01062","DCeased: Dead Planet","DC Universe","DCeased","DC","Series",""
"REPAIRED","SER-01061","DCeased: Unkillables","DC Universe","DCeased","DC","Series",""
"REPAIRED","SER-01063","DCeased: War of the Undead Gods","DC Universe","DCeased","DC","Series",""
"ADDED","DCA-0007","Deadenders","","","DC","Series","Vertigo"
"ADDED","DCS-0009","Deadenders","","Deadenders","DC","Series","Vertigo"
"REPAIRED","SER-01528","Deadman: Dark Mansion of Forbidden Love","DC Universe","Deadman","DC","Series",""
"ADDED","DCA-0092","The Death of Superman","","","DC","Event",""
"REPAIRED","EVT-00088","The Death of Superman","Superman Family","The Death of Superman","DC","Event",""
"ADDED","DCS-0111","Death: The High Cost of Living","","Sandman","DC","Series","Sandman Universe"
"ADDED","DCS-0112","Death: The Time of Your Life","","Sandman","DC","Series","Sandman Universe"
"ADDED","DCA-0048","Deathblow","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0064","Deathblow","","Deathblow","WildStorm","Series","WildStorm"
"ADDED","DCA-0136","Deathstroke/Yogi Bear Special","","","DC","Series",""
"REPAIRED","SER-01549","Deathstroke/Yogi Bear Special","DC Universe","Deathstroke/Yogi Bear Special","DC","Series",""
"ADDED","DCA-0067","Deathwish","","","Milestone","Series","Milestone"
"ADDED","DCS-0090","Deathwish","","Deathwish","Milestone","Series","Milestone"
"REPAIRED","SER-00014","Detective Comics","Air Wave","Batman","DC","Series",""
"REPAIRED","SER-00091","Detective Comics","Batwoman","Batman","DC","Series",""
"REPAIRED","SER-00467","Detective Comics","Martian Manhunter","Batman","DC","Series",""
"REPAIRED","SER-01378","Dial H","DC Universe","Dial H for Hero","DC","Series",""
"ADDED","DCA-0071","Dial H for Hero","","","DC","Series","Wonder Comics"
"REPAIRED","SER-01600","Dial H for Hero","DC Universe","Dial H for Hero","DC","Series","Wonder Comics"
"ADDED","DCA-0049","Divine Right","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0065","Divine Right","","Divine Right","WildStorm","Series","WildStorm"
"ADDED","DCA-0137","Dog Days of Summer","","","DC","Series",""
"REPAIRED","SER-01553","Dog Days of Summer","DC Universe","Dog Days of Summer","DC","Series",""
"ADDED","DCA-0043","The Dollhouse Family","","","DC","Series","Hill House Comics"
"ADDED","DCS-0054","Doom Patrol/JLA Special","","Milk Wars","DC","Series","Young Animal"
"ADDED","DCA-0093","Doomsday Clock","","","DC","Event",""
"REPAIRED","EVT-00077","Doomsday Clock","Justice League / Universe-Wide","Doomsday Clock","DC","Event",""
"REPAIRED","SER-00953","Doomsday Clock","Watchmen Universe","Doomsday Clock","DC","Series",""
"ADDED","DCA-0068","Duo","","","Milestone","Series","Milestone"
"REPAIRED","SER-01705","Duo","DC Universe","Duo","DC","Series","Milestone"
"ADDED","DCS-0091","Duo","","Duo","Milestone","Series","Milestone"
"ADDED","DCA-0094","Eclipso: The Darkness Within","","","DC","Event",""
"REPAIRED","EVT-00112","Eclipso: The Darkness Within","DC Universe","Eclipso: The Darkness Within","DC","Event",""
"ADDED","DCA-0138","Electric Warriors","","","DC","Series",""
"REPAIRED","SER-01531","Electric Warriors","DC Universe","Electric Warriors","DC","Series",""
"ADDED","DCA-0139","End of Life","","","DC","Series","Vertigo"
"REPAIRED","SER-01865","End of Life","Vertigo / Black Label","End of Life","DC","Series","Vertigo"
"ADDED","DCA-0009","Enigma","","","DC","Series","Vertigo"
"ADDED","DCS-0011","Enigma","","Enigma","DC","Series","Vertigo"
"ADDED","DCA-0035","Eternity Girl","","","DC","Series","Young Animal"
"REPAIRED","SER-01598","Eternity Girl","DC Universe","Eternity Girl","DC","Series","Young Animal"
"ADDED","DCA-0050","Ex Machina","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0066","Ex Machina","","Ex Machina","WildStorm","Series","WildStorm"
"ADDED","DCA-0077","Exit Stage Left: The Snagglepuss Chronicles","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01496","Exit Stage Left: The Snagglepuss Chronicles","DC Universe","Exit Stage Left: The Snagglepuss Chronicles","DC","Series","Hanna-Barbera Beyond"
"ADDED","DCA-0008","The Exterminators","","","DC","Series","Vertigo"
"ADDED","DCS-0010","The Exterminators","","The Exterminators","DC","Series","Vertigo"
"ADDED","DCS-0110","Fables: The Wolf Among Us","","Fables","DC","Series","Vertigo"
"ADDED","DCS-0108","Fairest","","Fables","DC","Series","Vertigo"
"ADDED","DCA-0031","Federal Bureau of Physics","","","DC","Series","Vertigo"
"ADDED","DCS-0038","Federal Bureau of Physics","","Federal Bureau of Physics","DC","Series","Vertigo"
"ADDED","DCA-0010","The Filth","","","DC","Series","Vertigo"
"ADDED","DCS-0012","The Filth","","The Filth","DC","Series","Vertigo"
"REPAIRED","EVT-00065","Final Crisis","Crisis Saga","Final Crisis","DC","Event",""
"ADDED","DCA-0095","The Final Night","","","DC","Event",""
"REPAIRED","EVT-00115","The Final Night","DC Universe","The Final Night","DC","Event",""
"ADDED","DCA-0140","Flash","","","DC","Series",""
"ADDED","DCA-0203","Flash Comics","","","DC","Series",""
"REPAIRED","SER-00104","Flash Comics","Black Canary","Flash Comics","DC","Series",""
"REPAIRED","SER-00340","Flash Comics","Hawkman","Flash Comics","DC","Series",""
"REPAIRED","SER-00803","Flash Comics","The Flash","Flash Comics","DC","Series",""
"REPAIRED","SER-00867","Flash Comics","The Whip","Flash Comics","DC","Series",""
"REPAIRED","SER-00247","The Flash","Elongated Man","The Flash","DC","Series",""
"REPAIRED","SER-00377","The Flash","Impulse / Kid Flash (Bart Allen)","The Flash","DC","Series",""
"REPAIRED","SER-01547","Flash/Speed Buggy Special","DC Universe","Flash","DC","Series",""
"REPAIRED","EVT-00081","Flashpoint","Rebirth Era","Flashpoint","DC","Event",""
"REPAIRED","SER-01064","Flashpoint Beyond","DC Universe","Flashpoint","DC","Series",""
"ADDED","DCS-0118","Flex Mentallo","","Doom Patrol","DC","Series","Vertigo"
"ADDED","DCA-0072","The Flintstones","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","CHR-00416","The Fly","","","Archie","Character","Impact"
"REPAIRED","SER-00373","The Fly","Impact Comics Imprint (Archie superheroes revival)","The Fly","DC","Series","Impact"
"ADDED","DCA-0114","Forager","","","DC","Series","Young Animal"
"REPAIRED","EVT-00078","Forever Evil","Justice League / Universe-Wide","Forever Evil","DC","Event",""
"ADDED","DCA-0142","Frankenstein, Agent of S.H.A.D.E.","","","DC","Series",""
"REPAIRED","SER-01379","Frankenstein, Agent of S.H.A.D.E.","DC Universe","Frankenstein, Agent of S.H.A.D.E.","DC","Series",""
"ADDED","DCA-0073","Future Quest","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01490","Future Quest","DC Universe","Future Quest","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01491","Future Quest Presents","DC Universe","Future Quest","DC","Series",""
"REPAIRED","SER-01065","Future State","DC Universe","Future State","DC","Series",""
"ADDED","DCA-0211","Future's End","","","DC","Series",""
"ADDED","DCA-0210","Generations","","","DC","Series",""
"REPAIRED","SER-01584","Generations Forged","DC Universe","Generations","DC","Series",""
"REPAIRED","SER-01583","Generations Shattered","DC Universe","Generations","DC","Series",""
"ADDED","DCA-0096","Genesis","","","DC","Event",""
"REPAIRED","EVT-00116","Genesis","DC Universe","Genesis","DC","Event",""
"REPAIRED","ANT-00001","Ghosts","DC Mystery Anthologies","Ghosts","DC","Anthology",""
"REPAIRED","SER-01552","Ghosts","DC Universe","Ghosts","DC","Series",""
"ADDED","DCA-0051","Global Frequency","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0067","Global Frequency","","Global Frequency","WildStorm","Series","WildStorm"
"REPAIRED","SER-01836","Gotham Academy: First Year","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-00251","Gotham by Gaslight","Elseworlds / Alternate Universe","Batman","DC","Series","Elseworlds"
"ADDED","DCA-0147","Gotham City Garage","","","DC","Series",""
"REPAIRED","SER-01530","Gotham City Garage","DC Universe","Gotham City Garage","DC","Series",""
"ADDED","DCA-0011","Greek Street","","","DC","Series","Vertigo"
"ADDED","DCS-0013","Greek Street","","Greek Street","DC","Series","Vertigo"
"REPAIRED","SER-01548","Green Lantern/Huckleberry Hound Special","DC Universe","Green Lantern","DC","Series",""
"REPAIRED","CHR-00170","Grifter","","","DC","Character","WildStorm"
"REPAIRED","EVT-00008","Hardware","","","Milestone","Event","Milestone"
"REPAIRED","SER-01703","Hardware: Season One","DC Universe","Hardware","DC","Series","Milestone"
"REPAIRED","SER-01856","Harley and Ivy: Life and Crimes","DC Universe","Harley Quinn","DC","Series",""
"REPAIRED","SER-01611","Harley Quinn: Black + White + Red","DC Universe","Harley Quinn","DC","Series",""
"ADDED","DCA-0148","Hawk & Dove","","","DC","Series",""
