"Cover title","Type","Parent authority","Marker type","Marker","Start year","End year","Coverage status","Authority ID"
"Cyclops","Series","Cyclops","era","All-New Marvel NOW!","2014","2015","Covered","SER-01916"
"Daredevil","Series","Daredevil","era","All-New Marvel NOW!","2014","2015","Covered","SER-01917"
"Deathlok","Series","Deathlok","era","All-New Marvel NOW!","2014","2015","Covered","SER-01918"
"Elektra","Series","Elektra","era","All-New Marvel NOW!","2014","2015","Covered","SER-01919"
"Fantastic Four","Series","Fantastic Four","era","All-New Marvel NOW!","2014","2015","Covered","SER-01920"
"Ghost Rider","Series","Ghost Rider","era","All-New Marvel NOW!","2014","2015","Covered","SER-01921"
"Hulk","Series","Hulk","era","All-New Marvel NOW!","2014","2015","Covered","SER-01922"
"Inhuman","Series","Inhumans","era","All-New Marvel NOW!","2014","2015","Covered","SER-01923"
"Iron Fist: The Living Weapon","Series","Iron Fist","era","All-New Marvel NOW!","2014","2015","Covered","SER-01924"
"Legendary Star-Lord","Series","Star-Lord","era","All-New Marvel NOW!","2014","2015","Covered","SER-01925"
"Loki: Agent of Asgard","Series","Thor","era","All-New Marvel NOW!","2014","2015","Covered","SER-01926"
"Magneto","Series","Magneto","era","All-New Marvel NOW!","2014","2015","Covered","SER-01927"
"Miles Morales: Ultimate Spider-Man","Series","Miles Morales","era","All-New Marvel NOW!","2014","2015","Covered","SER-01928"
"Moon Knight","Series","Moon Knight","era","All-New Marvel NOW!","2014","2015","Covered","SER-01929"
"Ms. Marvel","Series","Ms. Marvel (Kamala Khan)","era","All-New Marvel NOW!","2014","2015","Covered","SER-01930"
"New Warriors","Series","New Warriors","era","All-New Marvel NOW!","2014","2015","Covered","EVT-00011"
"Nightcrawler","Series","Nightcrawler","era","All-New Marvel NOW!","2014","2015","Covered","SER-01931"
"Punisher","Series","Punisher","era","All-New Marvel NOW!","2014","2015","Covered","SER-01932"
"Rocket Raccoon","Series","Rocket Raccoon","era","All-New Marvel NOW!","2014","2015","Covered","SER-01933"
"Secret Avengers","Series","Avengers","era","All-New Marvel NOW!","2014","2015","Covered","SER-01934"
"She-Hulk","Series","She-Hulk","era","All-New Marvel NOW!","2014","2015","Covered","CHR-00363"
"Silver Surfer","Series","Silver Surfer","era","All-New Marvel NOW!","2014","2015","Covered","SER-01935"
"Spider-Man 2099","Series","Spider-Man 2099","era","All-New Marvel NOW!","2014","2015","Covered","SER-01936"
"Spider-Woman","Series","Spider-Woman (Jessica Drew)","era","All-New Marvel NOW!","2014","2015","Covered","SER-00707"
"Storm","Series","Storm","era","All-New Marvel NOW!","2014","2015","Covered","SER-01937"
"Thor","Series","Thor","era","All-New Marvel NOW!","2014","2015","Covered","SER-01938"
"Uncanny Avengers","Series","Avengers","era","All-New Marvel NOW!","2015","2015","Covered","SER-01939"
"Wolverines","Series","Wolverine","era","All-New Marvel NOW!","2015","2015","Covered","SER-01940"
"All-New Doop","Series","X-Men","era","All-New Marvel NOW!","2014","2014","Covered","SER-01941"
"Deadly Hands of Kung-Fu","Series","Shang-Chi","era","All-New Marvel NOW!","2014","2014","Covered","SER-01942"
"Winter Soldier: The Bitter March","Series","Winter Soldier","era","All-New Marvel NOW!","2014","2014","Covered","SER-01943"
"All-New Captain America","Series","Captain America","era","All-New Marvel NOW!","2014","2015","Covered","SER-01944"
"Angela: Asgard's Assassin","Series","Thor","era","All-New Marvel NOW!","2014","2015","Covered","SER-01945"
"Ant-Man","Series","Ant-Man / Giant-Man","era","All-New Marvel NOW!","2015","2015","Covered","SER-00043"
"Bucky Barnes: The Winter Soldier","Series","Winter Soldier","era","All-New Marvel NOW!","2014","2015","Covered","SER-01946"
"Captain America and the Mighty Avengers","Series","Avengers","era","All-New Marvel NOW!","2014","2015","Covered","SER-01947"
"Death of Wolverine: The Logan Legacy","Series","Death of Wolverine","era","All-New Marvel NOW!","2014","2014","Covered","SER-01948"
"Death of Wolverine: The Weapon X Program","Series","Death of Wolverine","era","All-New Marvel NOW!","2014","2015","Covered","SER-01949"
"Operation S.I.N.","Series","S.H.I.E.L.D.","era","All-New Marvel NOW!","2015","2015","Covered","SER-01950"
"S.H.I.E.L.D.","Series","S.H.I.E.L.D.","era","All-New Marvel NOW!","2014","2015","Covered","SER-01951"
"Silk","Series","Silk","era","All-New Marvel NOW!","2015","2015","Covered","SER-01952"
"Spider-Gwen","Series","Spider-Gwen / Ghost-Spider","era","All-New Marvel NOW!","2015","2015","Covered","SER-00695"
"Unbeatable Squirrel Girl","Series","Squirrel Girl","era","All-New Marvel NOW!","2015","2015","Covered","SER-01953"
"Uncanny Inhumans","Series","Inhumans","era","All-New Marvel NOW!","2015","2015","Covered","SER-01954"
"A-Force","Series","Avengers","era","All-New, All-Different Marvel","2016","2016","Covered","SER-01955"
"Agents of S.H.I.E.L.D.","Series","S.H.I.E.L.D.","era","All-New, All-Different Marvel","2016","2016","Covered","SER-01956"
"All-New, All-Different Avengers","Series","Avengers","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01957"
"All-New Hawkeye","Series","Hawkeye","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01958"
"All-New Inhumans","Series","Inhumans","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01959"
"All-New Wolverine","Series","X-23 / Wolverine (Laura Kinney)","era","All-New, All-Different Marvel","2015","2018","Covered","SER-00988"
"All-New X-Men","Series","X-Men","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01960"
"Amazing Spider-Man","Series","Spider-Man","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01961"
"Angela: Queen of Hel","Series","Thor","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01962"
"Astonishing Ant-Man","Series","Ant-Man / Giant-Man","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01963"
"Black Knight","Series","Avengers","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01964"
"Black Panther","Series","Black Panther","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01965"
"Black Widow","Series","Black Widow","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01966"
"Captain America: Sam Wilson","Series","Falcon","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01967"
"Captain America: Steve Rogers","Series","Captain America","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01968"
"Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01969"
"Carnage","Series","Carnage","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01970"
"Contest of Champions","Series","Contest of Champions","era","All-New, All-Different Marvel","2015","2017","Covered","EVT-00034"
"Daredevil","Series","Daredevil","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01971"
"Deadpool","Series","Deadpool","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01972"
"Doctor Strange","Series","Doctor Strange","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01973"
"Doctor Strange and the Sorcerers Supreme","Series","Doctor Strange","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01974"
"Extraordinary X-Men","Series","X-Men","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01975"
"Guardians of the Galaxy","Series","Guardians of the Galaxy","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01976"
"Hawkeye","Series","Hawkeye","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01977"
"Hercules","Series","Hercules","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01978"
"Howard the Duck","Series","Howard the Duck","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01979"
"Hyperion","Series","Avengers","era","All-New, All-Different Marvel","2016","2016","Covered","SER-01980"
"Illuminati","Series","Illuminati","era","All-New, All-Different Marvel","2015","2016","Covered","CHR-00193"
"Invincible Iron Man","Series","Iron Man","era","All-New, All-Different Marvel","2015","2016","Covered","SER-00388"
"Karnak","Series","Inhumans","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01981"
"Mighty Thor","Series","Thor","era","All-New, All-Different Marvel","2015","2018","Covered","SER-01982"
"Mockingbird","Series","Mockingbird","era","All-New, All-Different Marvel","2016","2016","Covered","SER-01983"
"Moon Girl and Devil Dinosaur","Series","Marvel Universe","era","All-New, All-Different Marvel","2015","2019","Covered","SER-01108"
"Moon Knight","Series","Moon Knight","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01984"
"Ms. Marvel","Series","Ms. Marvel (Kamala Khan)","era","All-New, All-Different Marvel","2015","2019","Covered","SER-01985"
"New Avengers","Series","Avengers","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01986"
"Nighthawk","Series","Avengers","era","All-New, All-Different Marvel","2016","2016","Covered","SER-01987"
"Nova","Series","Nova","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01988"
"Old Man Logan","Series","Old Man Logan","era","All-New, All-Different Marvel","2016","2018","Covered","SER-01989"
"Patsy Walker, A.K.A. Hellcat!","Series","Marvel Universe","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01990"
"Power Man and Iron Fist","Series","Heroes for Hire","era","All-New, All-Different Marvel","2016","2017","Covered","SER-00451"
"Punisher","Series","Punisher","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01991"
"Red Wolf","Series","Avengers","era","All-New, All-Different Marvel","2015","2016","Covered","SER-01992"
"Rocket Raccoon and Groot","Series","Rocket Raccoon","era","All-New, All-Different Marvel","2016","2016","Covered","SER-01993"
"Scarlet Witch","Series","Vision & Scarlet Witch","era","All-New, All-Different Marvel","2015","2017","Covered","SER-00931"
"Silk","Series","Silk","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01994"
"Silver Surfer","Series","Silver Surfer","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01995"
"Spider-Gwen","Series","Spider-Gwen / Ghost-Spider","era","All-New, All-Different Marvel","2015","2018","Covered","SER-01996"
"Spider-Man","Series","Miles Morales","era","All-New, All-Different Marvel","2016","2017","Covered","SER-01997"
"Spider-Man 2099","Series","Spider-Man 2099","era","All-New, All-Different Marvel","2015","2017","Covered","SER-01998"
"Spider-Man/Deadpool","Series","Spider-Man","era","All-New, All-Different Marvel","2016","2019","Covered","SER-01999"
"Spider-Woman","Series","Spider-Woman (Jessica Drew)","era","All-New, All-Different Marvel","2015","2017","Covered","SER-02000"
"Squadron Supreme","Series","Avengers","era","All-New, All-Different Marvel","2015","2017","Covered","SER-02001"
"Totally Awesome Hulk","Series","Hulk","era","All-New, All-Different Marvel","2015","2017","Covered","SER-02002"
"Ultimates","Series","Ultimates","era","All-New, All-Different Marvel","2015","2016","Covered","CHR-00469"
"Ultimates 2","Series","Ultimates","era","All-New, All-Different Marvel","2016","2017","Covered","SER-02003"
"Unbeatable Squirrel Girl","Series","Squirrel Girl","era","All-New, All-Different Marvel","2015","2019","Covered","SER-02004"
"Uncanny Avengers","Series","Avengers","era","All-New, All-Different Marvel","2015","2017","Covered","SER-02005"
"Uncanny Inhumans","Series","Inhumans","era","All-New, All-Different Marvel","2015","2017","Covered","SER-02006"
"Uncanny X-Men","Series","X-Men","era","All-New, All-Different Marvel","2016","2017","Covered","SER-02007"
"Venom: Space Knight","Series","Venom","era","All-New, All-Different Marvel","2015","2016","Covered","SER-02008"
"Vision","Series","Vision & Scarlet Witch","era","All-New, All-Different Marvel","2015","2016","Covered","SER-02009"
"Vote Loki","Series","Thor","era","All-New, All-Different Marvel","2016","2016","Covered","SER-02010"
"Web Warriors","Series","Spider-Verse","era","All-New, All-Different Marvel","2015","2016","Covered","SER-02011"
"Agents of Atlas","Series","Marvel Universe","era","All-New, All-Different Marvel","2016","2016","Covered","SER-01106"
"Civil War II: Choosing Sides","Series","Civil War","era","All-New, All-Different Marvel","2016","2016","Covered","SER-02012"
"Civil War II: Gods of War","Series","Civil War","era","All-New, All-Different Marvel","2016","2016","Covered","SER-02013"
"Civil War II: Kingpin","Series","Civil War","era","All-New, All-Different Marvel","2016","2016","Covered","SER-02014"
"Civil War II: Ulysses","Series","Civil War","era","All-New, All-Different Marvel","2016","2016","Covered","SER-02015"
"Death of X","Series","X-Men","era","All-New, All-Different Marvel","2016","2016","Covered","SER-02016"
"Inhumans vs. X-Men","Series","X-Men","era","All-New, All-Different Marvel","2016","2017","Covered","SER-02017"
"Monsters Unleashed","Series","Marvel Universe","era","All-New, All-Different Marvel","2017","2017","Covered","SER-02018"
"All-New Guardians of the Galaxy","Series","Guardians of the Galaxy","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02019"
"Amazing Spider-Man: Renew Your Vows","Series","Spider-Man","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02020"
"America","Series","Miss America","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02021"
"Astonishing X-Men","Series","X-Men","era","Marvel NOW! 2.0","2017","2018","Covered","SER-00993"
"Avengers","Series","Avengers","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02022"
"Ben Reilly: Scarlet Spider","Series","Scarlet Spider (Ben Reilly)","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02023"
"Black Bolt","Series","Inhumans","era","Marvel NOW! 2.0","2017","2018","Covered","SER-01110"
"Black Panther and the Crew","Series","Black Panther","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02024"
"Black Panther: World of Wakanda","Series","Black Panther","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02025"
"Cable","Series","Cable","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02026"
"Champions","Series","Champions","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02027"
"Defenders","Series","Defenders","era","Marvel NOW! 2.0","2017","2018","Covered","TEM-00005"
"Doctor Strange","Series","Doctor Strange","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02028"
"Falcon","Series","Falcon","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02029"
"Generation X","Series","Generation X","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02030"
"Generations","Series","Marvel Universe","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02031"
"Guardians of the Galaxy: Mother Entropy","Series","Guardians of the Galaxy","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02032"
"Hawkeye","Series","Hawkeye","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02033"
"Iceman","Series","X-Men","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02034"
"Infamous Iron Man","Series","Iron Man","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02035"
"Inhumans Prime","Series","Inhumans","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02036"
"Inhumans: Once and Future Kings","Series","Inhumans","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02037"
"Invincible Iron Man","Series","Iron Man","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02038"
"Iron Fist","Series","Iron Fist","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02039"
"Jean Grey","Series","Jean Grey / Phoenix","era","Marvel NOW! 2.0","2017","2018","Covered","SER-00393"
"Jessica Jones","Series","Marvel Universe","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02040"
"Kingpin","Series","Daredevil","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02041"
"Marvel's Thor: Ragnarok Prelude","Series","Thor","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02042"
"Mighty Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02043"
"Monsters Unleashed","Series","Marvel Universe","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02044"
"Moon Girl and Devil Dinosaur","Series","Marvel Universe","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02045"
"Mosaic","Series","Inhumans","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02046"
"Nick Fury","Series","Nick Fury","era","Marvel NOW! 2.0","2017","2017","Covered","CHR-00275"
"Nova","Series","Nova","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02047"
"Occupy Avengers","Series","Avengers","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02048"
"Old Man Hawkeye","Series","Hawkeye","era","Marvel NOW! 2.0","2018","2018","Covered","SER-02049"
"Old Man Logan","Series","Old Man Logan","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02050"
"Prowler","Series","Spider-Man","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02051"
"Rocket","Series","Rocket Raccoon","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02052"
"Royals","Series","Inhumans","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02053"
"Secret Warriors","Series","Secret Warriors","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02054"
"Silver Sable and the Wild Pack","Series","Spider-Man","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02055"
"Spider-Man/Deadpool","Series","Spider-Man","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02056"
"Spider-Man: Master Plan","Series","Spider-Man","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02057"
"Star-Lord","Series","Star-Lord","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02058"
"Thanos","Series","Thanos","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02059"
"The Unworthy Thor","Series","Thor","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02060"
"U.S.Avengers","Series","Avengers","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02061"
"Uncanny Avengers","Series","Avengers","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02062"
"Venom","Series","Venom","era","Marvel NOW! 2.0","2016","2018","Covered","SER-02063"
"Weapon X","Series","Weapon X","era","Marvel NOW! 2.0","2017","2018","Covered","SER-02064"
"X-Men Blue","Series","X-Men","era","Marvel NOW! 2.0","2017","2018","Covered","SER-01082"
"X-Men Gold","Series","X-Men","era","Marvel NOW! 2.0","2017","2018","Covered","SER-01083"
"X-Men Prime","Series","X-Men","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02065"
"Bullseye","Series","Daredevil","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02066"
"Cage!","Series","Luke Cage","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02067"
"Deadpool: Back in Black","Series","Deadpool","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02068"
"Elektra","Series","Elektra","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02069"
"Foolkiller","Series","Deadpool","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02070"
"Gamora","Series","Gamora","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02071"
"Man-Thing","Series","Man-Thing","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02072"
"Solo","Series","Deadpool","era","Marvel NOW! 2.0","2016","2017","Covered","SER-02073"
"Unstoppable Wasp","Series","Wasp","era","Marvel NOW! 2.0","2017","2017","Covered","SER-02074"
"Amazing Spider-Man: Renew Your Vows","Series","Spider-Man","era","Marvel Legacy","2017","2018","Covered","SER-02075"
"America","Series","Miss America","era","Marvel Legacy","2017","2018","Covered","SER-02076"
"Astonishing X-Men","Series","X-Men","era","Marvel Legacy","2017","2018","Covered","SER-02077"
"Avengers","Series","Avengers","era","Marvel Legacy","2017","2018","Covered","SER-02078"
"Ben Reilly: Scarlet Spider","Series","Scarlet Spider (Ben Reilly)","era","Marvel Legacy","2017","2018","Covered","SER-02079"
"Black Bolt","Series","Inhumans","era","Marvel Legacy","2017","2018","Covered","SER-02080"
"Cable","Series","Cable","era","Marvel Legacy","2017","2018","Covered","SER-02081"
"Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","Marvel Legacy","2017","2018","Covered","SER-02082"
"Champions","Series","Champions","era","Marvel Legacy","2017","2018","Covered","SER-02083"
"Daredevil","Series","Daredevil","era","Marvel Legacy","2017","2018","Covered","SER-02084"
"Deadpool","Series","Deadpool","era","Marvel Legacy","2017","2018","Covered","SER-02085"
"Despicable Deadpool","Series","Deadpool","era","Marvel Legacy","2017","2018","Covered","SER-02086"
"Doctor Strange","Series","Doctor Strange","era","Marvel Legacy","2017","2018","Covered","SER-02087"
"Falcon","Series","Falcon","era","Marvel Legacy","2017","2018","Covered","SER-02088"
"Generation X","Series","Generation X","era","Marvel Legacy","2017","2018","Covered","SER-02089"
"Guardians of the Galaxy","Series","Guardians of the Galaxy","era","Marvel Legacy","2017","2018","Covered","SER-02090"
"Hawkeye","Series","Hawkeye","era","Marvel Legacy","2017","2018","Covered","SER-02091"
"Iceman","Series","X-Men","era","Marvel Legacy","2017","2018","Covered","SER-02092"
"Incredible Hulk","Series","Hulk","era","Marvel Legacy","2017","2018","Covered","SER-02093"
"Invincible Iron Man","Series","Iron Man","era","Marvel Legacy","2017","2018","Covered","SER-02094"
"Iron Fist","Series","Iron Fist","era","Marvel Legacy","2017","2018","Covered","SER-02095"
"Jean Grey","Series","Jean Grey / Phoenix","era","Marvel Legacy","2017","2018","Covered","SER-02096"
"Jessica Jones","Series","Marvel Universe","era","Marvel Legacy","2017","2018","Covered","SER-02097"
"Luke Cage","Series","Luke Cage","era","Marvel Legacy","2017","2018","Covered","CHR-00235"
"Mighty Thor","Series","Thor","era","Marvel Legacy","2017","2018","Covered","SER-02098"
"Moon Girl and Devil Dinosaur","Series","Marvel Universe","era","Marvel Legacy","2017","2018","Covered","SER-02099"
"Moon Knight","Series","Moon Knight","era","Marvel Legacy","2017","2018","Covered","SER-02100"
"Ms. Marvel","Series","Ms. Marvel (Kamala Khan)","era","Marvel Legacy","2017","2018","Covered","SER-02101"
"Old Man Logan","Series","Old Man Logan","era","Marvel Legacy","2017","2018","Covered","SER-02102"
"Peter Parker: The Spectacular Spider-Man","Series","Spider-Man","era","Marvel Legacy","2017","2018","Covered","SER-02103"
"Punisher","Series","Punisher","era","Marvel Legacy","2017","2018","Covered","SER-02104"
"Royals","Series","Inhumans","era","Marvel Legacy","2017","2018","Covered","SER-02105"
"Secret Warriors","Series","Secret Warriors","era","Marvel Legacy","2017","2018","Covered","SER-02106"
"She-Hulk","Series","She-Hulk","era","Marvel Legacy","2017","2018","Covered","SER-02107"
"Spider-Gwen","Series","Spider-Gwen / Ghost-Spider","era","Marvel Legacy","2017","2018","Covered","SER-02108"
"Spider-Man","Series","Miles Morales","era","Marvel Legacy","2017","2018","Covered","SER-02109"
"Spider-Man/Deadpool","Series","Spider-Man","era","Marvel Legacy","2017","2018","Covered","SER-02110"
"Spirits of Vengeance","Series","Ghost Rider","era","Marvel Legacy","2017","2018","Covered","SER-02111"
"Thanos","Series","Thanos","era","Marvel Legacy","2017","2018","Covered","SER-02112"
"Unbeatable Squirrel Girl","Series","Squirrel Girl","era","Marvel Legacy","2017","2018","Covered","SER-02113"
"Uncanny Avengers","Series","Avengers","era","Marvel Legacy","2017","2018","Covered","SER-02114"
"Venom","Series","Venom","era","Marvel Legacy","2017","2018","Covered","SER-02115"
"Weapon X","Series","Weapon X","era","Marvel Legacy","2017","2018","Covered","SER-02116"
"X-Men Blue","Series","X-Men","era","Marvel Legacy","2017","2018","Covered","SER-02117"
"X-Men Gold","Series","X-Men","era","Marvel Legacy","2017","2018","Covered","SER-02118"
"X-Men Red","Series","X-Men","era","Marvel Legacy","2018","2018","Covered","SER-01081"
"Amazing Spider-Man","Series","Spider-Man","era","Fresh Start","2018","2022","Covered","SER-02119"
