Action,Title,Parent,Start Year,End Year,Note
"Confirmed/enriched title","King in Black: Thunderbolts","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Wiccan and Hulkling","King in Black","2021","2021",""
"Added primary authority","Heroes Reborn","","2021","2021",""
"Reparented dedicated title","Heroes Reborn","Heroes Reborn","2021","2021","Former parent: Avengers"
"Reparented dedicated title","Heroes Return","Heroes Reborn","2021","2021","Former parent: Avengers"
"Added primary authority","Devil's Reign","","2021","2022",""
"Added dedicated event title","Devil's Reign","Devil's Reign","2021","2022",""
"Added dedicated event title","Devil's Reign: Moon Knight","Devil's Reign","2021","2022",""
"Added dedicated event title","Devil's Reign: Omega","Devil's Reign","2021","2022",""
"Added dedicated event title","Devil's Reign: Spider-Man","Devil's Reign","2021","2022",""
"Reparented dedicated title","Devil's Reign: Superior Four","Devil's Reign","2022","2022","Former parent: Daredevil"
"Reparented dedicated title","Devil's Reign: Villains for Hire","Devil's Reign","2022","2022","Former parent: Daredevil"
"Added dedicated event title","Devil's Reign: Winter Soldier","Devil's Reign","2021","2022",""
"Added dedicated event title","Devil's Reign: X-Men","Devil's Reign","2021","2022",""
"Added primary authority","A.X.E.: Judgment Day","","2022","2022",""
"Reparented dedicated title","A.X.E.: Judgment Day","A.X.E.: Judgment Day","2022","2022","Former parent: Avengers"
"Reparented dedicated title","A.X.E.: Avengers","A.X.E.: Judgment Day","2022","2022","Former parent: Avengers"
"Reparented dedicated title","A.X.E.: Death to the Mutants","A.X.E.: Judgment Day","2022","2022","Former parent: Avengers"
"Added dedicated event title","A.X.E.: Eve of Judgment","A.X.E.: Judgment Day","2022","2022",""
"Reparented dedicated title","A.X.E.: Eternals","A.X.E.: Judgment Day","2022","2022","Former parent: Avengers"
"Reparented dedicated title","A.X.E.: Iron Fist","A.X.E.: Judgment Day","2022","2022","Former parent: Avengers"
"Added dedicated event title","A.X.E.: Judgment Day Omega","A.X.E.: Judgment Day","2022","2022",""
"Reparented dedicated title","A.X.E.: Starfox","A.X.E.: Judgment Day","2022","2022","Former parent: Avengers"
"Reparented dedicated title","A.X.E.: X-Men","A.X.E.: Judgment Day","2022","2022","Former parent: Avengers"
"Added primary authority","Dark Web","","2022","2023",""
"Reparented dedicated title","Dark Web","Dark Web","2022","2023","Former parent: Spider-Man"
"Added dedicated event title","Dark Web: Finale","Dark Web","2022","2023",""
"Reparented dedicated title","Dark Web: Ms. Marvel","Dark Web","2022","2023","Former parent: Spider-Man"
"Reparented dedicated title","Dark Web: X-Men","Dark Web","2022","2023","Former parent: Spider-Man"
"Added primary authority","Sins of Sinister","","2023","2023",""
"Reparented dedicated title","Sins of Sinister","Sins of Sinister","2023","2023","Former parent: X-Men"
"Added dedicated event title","Sins of Sinister: Dominion","Sins of Sinister","2023","2023",""
"Reparented dedicated title","Immoral X-Men","Sins of Sinister","2023","2023","Former parent: X-Men"
"Reparented dedicated title","Nightcrawlers","Sins of Sinister","2023","2023","Former parent: Nightcrawler"
"Reparented dedicated title","Storm & the Brotherhood of Mutants","Sins of Sinister","2023","2023","Former parent: Storm"
"Added primary authority","Gang War","","2023","2024",""
"Added dedicated event title","Gang War: First Strike","Gang War","2023","2024",""
"Added dedicated event title","Daredevil: Gang War","Gang War","2023","2024",""
"Added dedicated event title","Deadly Hands of Kung Fu: Gang War","Gang War","2023","2024",""
"Added dedicated event title","Luke Cage: Gang War","Gang War","2023","2024",""
"Added primary authority","Blood Hunt","","2024","2024",""
"Reparented dedicated title","Blood Hunt","Blood Hunt","2024","2024","Former parent: Marvel Universe"
"Reparented dedicated title","Blood Hunt: Red Band","Blood Hunt","2024","2024","Former parent: Marvel Universe"
"Added dedicated event title","Black Panther: Blood Hunt","Blood Hunt","2024","2024",""
"Added dedicated event title","Doctor Strange: Blood Hunt","Blood Hunt","2024","2024",""
"Added dedicated event title","Hulk: Blood Hunt","Blood Hunt","2024","2024",""
"Added dedicated event title","Midnight Sons: Blood Hunt","Blood Hunt","2024","2024",""
"Added dedicated event title","Strange Academy: Blood Hunt","Blood Hunt","2024","2024",""
"Added dedicated event title","Union Jack the Ripper: Blood Hunt","Blood Hunt","2024","2024",""
"Added dedicated event title","Werewolf by Night: Blood Hunt","Blood Hunt","2024","2024",""
"Added dedicated event title","Wolverine: Blood Hunt","Blood Hunt","2024","2024",""
"Added primary authority","Venom War","","2024","2024",""
"Reparented dedicated title","Venom War","Venom War","2024","2024","Former parent: Venom"
"Reparented dedicated title","Venom War: Carnage","Venom War","2024","2024","Former parent: Venom"
"Added dedicated event title","Venom War: Daredevil","Venom War","2024","2024",""
"Reparented dedicated title","Venom War: Deadpool","Venom War","2024","2024","Former parent: Venom"
"Added dedicated event title","Venom War: Fantastic Four","Venom War","2024","2024",""
"Added dedicated event title","Venom War: It's Jeff!","Venom War","2024","2024",""
"Reparented dedicated title","Venom War: Lethal Protectors","Venom War","2024","2024","Former parent: Venom"
"Reparented dedicated title","Venom War: Spider-Man","Venom War","2024","2024","Former parent: Venom"
"Added dedicated event title","Venom War: Venomous","Venom War","2024","2024",""
"Added dedicated event title","Venom War: Wolverine","Venom War","2024","2024",""
"Added dedicated event title","Venom War: Zombiotes","Venom War","2024","2024",""
"Added primary authority","One World Under Doom","","2025","2025",""
"Reparented dedicated title","One World Under Doom","One World Under Doom","2025","2025","Former parent: Marvel Universe"
"Added primary authority","Imperial","","2025","2025",""
"Added dedicated event title","Imperial","Imperial","2025","2025",""
"Added dedicated event title","Imperial War: Black Panther","Imperial","2025","2025",""
"Added dedicated event title","Imperial War: Exiles","Imperial","2025","2025",""
"Added dedicated event title","Imperial War: Imperial Guardians","Imperial","2025","2025",""
"Added dedicated event title","Imperial War: Nova - Centurion","Imperial","2025","2025",""
"Added dedicated event title","Imperial War: Planet She-Hulk","Imperial","2025","2025",""
"Added primary authority","Queen in Black","","2026","2026",""
"Reparented dedicated title","Queen in Black","Queen in Black","2026","2026","Former parent: Venom"
