"Authority title","Year","Audit result","Authority ID","Type","Parent authority","Publishing era"
"Infinite Crisis Aftermath: The Battle for Blüdhaven","2006","Added","EVT-00126","Event","Crisis Saga",""
"52","2006","Added","EVT-00127","Event","DC Universe",""
"World War III","2007","Added","EVT-00128","Event","52",""
"52 Aftermath: The Four Horsemen","2007","Added","EVT-00129","Event","52",""
"Crime Bible: The Five Lessons of Blood","2007","Added","EVT-00130","Event","52",""
"Seven Soldiers","2005","Added","EVT-00131","Event","DC Universe",""
"Countdown","2007","Added","EVT-00132","Event","Crisis Saga",""
"Countdown to Final Crisis","2007","Added","EVT-00133","Event","Crisis Saga",""
"Countdown to Adventure","2007","Added","EVT-00134","Event","Countdown to Final Crisis",""
"Countdown to Mystery","2007","Added","EVT-00135","Event","Countdown to Final Crisis",""
"Countdown: Arena","2007","Added","EVT-00136","Event","Countdown to Final Crisis",""
"Countdown Presents: Lord Havok and the Extremists","2007","Added","EVT-00137","Event","Countdown to Final Crisis",""
"Countdown Presents: The Search for Ray Palmer","2007","Added","EVT-00138","Event","Countdown to Final Crisis",""
"Death of the New Gods","2007","Added","EVT-00139","Event","Countdown to Final Crisis",""
"Salvation Run","2007","Added","EVT-00140","Event","Countdown to Final Crisis",""
"Final Crisis","2008","Already present","EVT-00065","Event","Crisis Saga",""
"Final Crisis: Legion of Three Worlds","2008","Added","EVT-00141","Event","Final Crisis",""
"Final Crisis: Revelations","2008","Added","EVT-00142","Event","Final Crisis",""
"Final Crisis: Requiem","2008","Added","EVT-00143","Event","Final Crisis",""
"Final Crisis: Resist","2008","Added","EVT-00144","Event","Final Crisis",""
"Final Crisis: Rage of the Red Lanterns","2008","Added","EVT-00145","Event","Final Crisis",""
"Final Crisis: Rogues' Revenge","2008","Added","EVT-00146","Event","Final Crisis",""
"Final Crisis: Secret Files","2009","Added","EVT-00147","Event","Final Crisis",""
"Final Crisis: Superman Beyond","2008","Added","EVT-00148","Event","Final Crisis",""
"Blackest Night","2009","Already present","EVT-00076","Event","Justice League / Universe-Wide",""
"Brightest Day","2010","Added","EVT-00149","Event","DC Universe",""
"Brightest Day Aftermath: The Search for Swamp Thing","2011","Added","EVT-00150","Event","Brightest Day",""
"Flashpoint","2011","Already present","EVT-00081","Event","Rebirth Era",""
"Flashpoint: Abin Sur - The Green Lantern","2011","Added","EVT-00151","Event","Flashpoint",""
"Flashpoint: Batman - Knight of Vengeance","2011","Added","EVT-00152","Event","Flashpoint",""
"Flashpoint: Citizen Cold","2011","Added","EVT-00153","Event","Flashpoint",""
"Flashpoint: Deathstroke and the Curse of the Ravager","2011","Added","EVT-00154","Event","Flashpoint",""
"Flashpoint: Emperor Aquaman","2011","Added","EVT-00155","Event","Flashpoint",""
"Flashpoint: Frankenstein and the Creatures of the Unknown","2011","Added","EVT-00156","Event","Flashpoint",""
"Flashpoint: Grodd of War","2011","Added","EVT-00157","Event","Flashpoint",""
"Flashpoint: Hal Jordan","2011","Added","EVT-00158","Event","Flashpoint",""
"Flashpoint: Kid Flash Lost","2011","Added","EVT-00159","Event","Flashpoint",""
"Flashpoint: Legion of Doom","2011","Added","EVT-00160","Event","Flashpoint",""
"Flashpoint: Lois Lane and the Resistance","2011","Added","EVT-00161","Event","Flashpoint",""
"Flashpoint: Project Superman","2011","Added","EVT-00162","Event","Flashpoint",""
"Flashpoint: Reverse Flash","2011","Added","EVT-00163","Event","Flashpoint",""
"Flashpoint: Secret Seven","2011","Added","EVT-00164","Event","Flashpoint",""
"Flashpoint: The Canterbury Cricket","2011","Added","EVT-00165","Event","Flashpoint",""
"Flashpoint: The Outsider","2011","Added","EVT-00166","Event","Flashpoint",""
"Flashpoint: The World of Flashpoint","2011","Added","EVT-00167","Event","Flashpoint",""
"Flashpoint: Wonder Woman and the Furies","2011","Added","EVT-00168","Event","Flashpoint",""
"Dark Days: The Forge","2017","Added","EVT-00169","Event","Dark Nights: Metal","Rebirth"
"Dark Days: The Casting","2017","Added","EVT-00170","Event","Dark Nights: Metal","Rebirth"
"Batman Lost","2017","Added","EVT-00171","Event","Dark Nights: Metal","Rebirth"
"Hawkman Found","2017","Added","EVT-00172","Event","Dark Nights: Metal","Rebirth"
"Batman: The Dawnbreaker","2017","Added","EVT-00173","Event","Dark Nights: Metal","Rebirth"
"Dark Knights Rising: The Wild Hunt","2018","Added","EVT-00174","Event","Dark Nights: Metal","Rebirth"
"DC's Year of the Villain Special","2019","Added","EVT-00175","Event","DC Universe","DC Universe"
"Year of the Villain","2019","Added","EVT-00176","Event","DC Universe","DC Universe"
"Lazarus Planet","2023","Added","EVT-00177","Event","DC Universe","Infinite Frontier"
"Titans: Beast World: Waller Rising","2023","Already present","SER-01777","Series","Robin / Teen Titans","Dawn of DC"
"DC K.O.: Green Lantern Galactic Slam","2026","Added","EVT-00178","Event","DC Universe","DC All In"
"DC K.O.: Boss Battle","2026","Added","EVT-00179","Event","DC Universe","DC All In"
