"action","authority","title","publisher","publishing_line","record_id"
"AUDIT SERIES","Lumberjanes","Lumberjanes","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Lucy Dreaming","Lucy Dreaming","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Low Road West","Low Road West","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Last Sons of America","Last Sons of America","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Ladycastle","Ladycastle","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jim Henson's Labyrinth","Jim Henson's Labyrinth","Boom! Studios","Archaia",""
"AUDIT SERIES","Know Your Station","Know Your Station","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Klaus","Klaus","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","King of Nowhere","King of Nowhere","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Just Beyond","Just Beyond","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Judas","Judas","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jonesy","Jonesy","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Jane","Jane","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Grim","Grim","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hollow","Hollow","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hex Vet","Hex Vet","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Heavy Vinyl","Heavy Vinyl","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Harrower","Harrower","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Grass Kings","Grass Kings","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Goldie Vance","Goldie Vance","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Giant Days","Giant Days","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Ghostlore","Ghostlore","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Ghosted in L.A.","Ghosted in L.A.","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Garfield","Garfield","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","Fraggle Rock","Fraggle Rock","Boom! Studios","Archaia",""
"AUDIT SERIES","Folklords","Folklords","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Flavor Girls","Flavor Girls","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fence","Fence","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Feathers","Feathers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Faithless","Faithless","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Irredeemable","Irredeemable","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","I'm Still Alive","I'm Still Alive","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","I Moved to Los Angeles to Work in Animation","I Moved to Los Angeles to Work in Animation","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hotel Dare","Hotel Dare","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Something is Killing the Children","House of Slaughter","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Eve","Eve","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Empty Man","The Empty Man","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Victor LaValle's Destroyer","Victor LaValle's Destroyer","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dark Blood","Dark Blood","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Eat the Rich","Eat the Rich","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dune","Dune","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dodo","Dodo","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dodge City","Dodge City","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Diesel","Diesel","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Coda","Coda","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Clueless","Clueless","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Cloud","The Cloud","Boom! Studios","Archaia",""
"AUDIT SERIES","By Night","By Night","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bury the Lede","Bury the Lede","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","BRZRKR","BRZRKR","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Briar","Briar","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Brave Chef Brianna","Brave Chef Brianna","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bone Parish","Bone Parish","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bolivar","Bolivar","Boom! Studios","Archaia",""
"AUDIT SERIES","Black Badge","Black Badge","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bill & Ted","Bill & Ted","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Big Trouble in Little China","Big Trouble in Little China","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Big Black: Stand at Attica","Big Black: Stand at Attica","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Ben 10","Ben 10","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Backstagers","The Backstagers","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","The Avant-Guards","The Avant-Guards","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","A Vicious Circle","A Vicious Circle","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Amory Wars","The Amory Wars","Boom! Studios","Archaia",""
"AUDIT SERIES","Alice Ever After","Alice Ever After","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","About Betty's Boob","About Betty's Boob","Boom! Studios","Archaia",""
"AUDIT SERIES","An Ember in the Ashes","An Ember in the Ashes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Abbott","Abbott","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","10","10","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","2 Guns","2 Guns","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","28 Days Later","28 Days Later","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","3 Guns","3 Guns","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Abigail and the Snowman","Abigail and the Snowman","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Adventure Time","Adventure Time","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","Alice in Wonderland","Alice in Wonderland","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Alienated","Alienated","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Aliens vs. Parker","Aliens vs. Parker","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Firefly","All New Firefly","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Amazing World of Gumball","The Amazing World of Gumball","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","Americatown","Americatown","Boom! Studios","Archaia",""
"AUDIT SERIES","The Anchor","The Anchor","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Angel","Angel","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Arcadia","Arcadia","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Avengefuls","The Avengefuls","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","b.b. free","b.b. free","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bags (or a Story Thereof)","Bags (or a Story Thereof)","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Baker Street Peculiars","The Baker Street Peculiars","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Basilisk","Basilisk","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Batman '66 Meets Steed and Mrs. Peel","Batman '66 Meets Steed and Mrs. Peel","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bee and PuppyCat","Bee and PuppyCat","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","Behold Behemoth","Behold Behemoth","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jim Henson's The Dark Crystal","Beneath the Dark Crystal","Boom! Studios","Archaia",""
"AUDIT SERIES","Better Angels: A Kate Warne Adventure","Better Angels: A Kate Warne Adventure","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Planet of the Apes","Betrayal of the Planet of the Apes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Big Con Job","The Big Con Job","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Black Dahlia","The Black Dahlia","Boom! Studios","Archaia",""
"AUDIT SERIES","Black Market","Black Market","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Black Plague","The Black Plague","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Blood Bowl: Killer Contract","Blood Bowl: Killer Contract","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bodie Troll","Bodie Troll","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Something is Killing the Children","Book of Slaughter","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bravest Warriors","Bravest Warriors","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","Broken World","Broken World","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Buckhead","Buckhead","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Buffy the Vampire Slayer","Buffy the Vampire Slayer","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Burning Fields","Burning Fields","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Calling: Cthulhu Chronicles","The Calling: Cthulhu Chronicles","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Caped","Caped","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Captain American Idol","Captain American Idol","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Capture Creatures","Capture Creatures","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cars","Cars","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","CBGB","CBGB","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Challenger Deep","Challenger Deep","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Chip 'n Dale Rescue Rangers","Chip 'n Dale Rescue Rangers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Clarence","Clarence","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Clive Barker's Next Testament","Clive Barker's Next Testament","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Clive Barker's Nightbreed","Clive Barker's Nightbreed","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cloaks","Cloaks","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cluster","Cluster","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Coady and the Creepies","Coady and the Creepies","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Codebreakers","Codebreakers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cognetic","Cognetic","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cold Space","Cold Space","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cover Girl","Cover Girl","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cthulhu Tales","Cthulhu Tales","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Curb Stomp","Curb Stomp","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Curse","Curse","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cursed Pirate Girl","Cursed Pirate Girl","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Damn Them All","Damn Them All","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jim Henson's The Dark Crystal","The Dark Crystal","Boom! Studios","Archaia",""
"AUDIT SERIES","Darkwing Duck","Darkwing Duck","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Planet of the Apes","Dawn of the Planet of the Apes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Day Men","Day Men","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dead Letters","Dead Letters","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dead Run","Dead Run","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Death Be Damned","Death Be Damned","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Deathmatch","Deathmatch","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Deceivers","Deceivers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Decision 2012","Decision 2012","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Deep","The Deep","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Deep State","Deep State","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Die Hard: Year One","Die Hard: Year One","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dingo","Dingo","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Disney's Hero Squad: Ultraheroes","Disney's Hero Squad: Ultraheroes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Do Androids Dream of Electric Sheep?","Do Androids Dream of Electric Sheep?","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dominion","Dominion","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Donald Duck","Donald Duck","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Dracula: The Company of Monsters","Dracula: The Company of Monsters","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","DuckTales","DuckTales","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Eat and Love Yourself","Eat and Love Yourself","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Eighty Days","Eighty Days","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Elric: The Balance Lost","Elric: The Balance Lost","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Enigma Cipher","Enigma Cipher","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Escape from New York","Escape from New York","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Eternal","Eternal","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Eugenic","Eugenic","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Eureka","Eureka","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Evil Empire","Evil Empire","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Extermination","Extermination","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fairy Quest","Fairy Quest","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fanboys vs. Zombies","Fanboys vs. Zombies","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fall of Cthulhu","Fall of Cthulhu","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fear the Dead: A Zombie Survivors Journal","Fear the Dead: A Zombie Survivors Journal","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Fiction","The Fiction","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fiction Squad","Fiction Squad","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Finding Nemo","Finding Nemo","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Firefly","Firefly","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Forever Home","Forever Home","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Foundation","The Foundation","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Freelancers","Freelancers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fresh Off the Boat Presents: Legion of Dope-itude Featuring Lazy Boy","Fresh Off the Boat Presents: Legion of Dope-itude Featuring Lazy Boy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fused! Tales","Fused! Tales","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","G.I. Spy","G.I. Spy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Galveston","Galveston","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Getting Dizzy","Getting Dizzy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Giant Monster","Giant Monster","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Godshaper","Godshaper","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Good Luck","Good Luck","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Great Wiz and the Ruckus","The Great Wiz and the Ruckus","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Grumpy Cat/Garfield","Grumpy Cat/Garfield","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hacktivist","Hacktivist","Boom! Studios","Archaia",""
"AUDIT SERIES","Halogen","Halogen","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Happiness Will Follow","Happiness Will Follow","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hawken: Melee","Hawken: Melee","Boom! Studios","Archaia",""
"AUDIT SERIES","Hawks of Outremer","Hawks of Outremer","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Heartbeat","Heartbeat","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Buffy the Vampire Slayer","Hellmouth","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Help Us! Great Warrior","Help Us! Great Warrior","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hellraiser","Hellraiser","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hero Squared","Hero Squared","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Herobear and the Kid","Herobear and the Kid","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hexed","Hexed","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","High Rollers","High Rollers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Higher Earth","Higher Earth","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hit","Hit","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hunter's Fortune","Hunter's Fortune","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hunter's Moon","Hunter's Moon","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Hypernaturals","The Hypernaturals","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Ice Age","Ice Age","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Imagine Agents","Imagine Agents","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Incorruptible","Incorruptible","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Incredibles","The Incredibles","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Insurrection v3.6","Insurrection v3.6","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Interesting Drug","Interesting Drug","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Iron Muslim","Iron Muslim","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Iscariot","Iscariot","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jennifer's Body","Jennifer's Body","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jenny Finn: Messiah","Jenny Finn: Messiah","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jeremiah Harm","Jeremiah Harm","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jo & Rus","Jo & Rus","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","John Flood","John Flood","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Joyners","The Joyners","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Joyride","Joyride","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Juliet Takes a Breath","Juliet Takes a Breath","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mighty Morphin Power Rangers","Justice League/Mighty Morphin Power Rangers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Kennel Block Blues","Kennel Block Blues","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Key of Z","Key of Z","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Kill Audio","Kill Audio","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Kong of Skull Island","Kong of Skull Island","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Last Broadcast","The Last Broadcast","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Last Contract","The Last Contract","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Last Reign: Kings of War","Last Reign: Kings of War","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Lazaretto","Lazaretto","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Left on Mission","Left on Mission","Boom! Studios","BOOM! Studios",""
